,"December 31,2020","December 31,2020","December 31,2020","December 31,2019","December 31,2019","December 31,2019"
,Cash and Cash Equivalents,Short-Term Investments,Long-Term Investments,Cash and Cash Equivalents,Short-Term Investments,Long-Term Investments
Measured at fair value:,,,,,,
Money market funds .,$ 886,$,$,"$1,213",$,$
Corporate obligation...,256,407,,174,"1,216",
U.S. government agency and Treasury securities,"1,340","3,054",,604,"1,734",
Mutual funds .,,,18,,,272
Total.,"2,482","3,461",18,"1,991","2,950",272
Other measurement basis:,,,,,,
Equity-method investment... Non-marketable equity,,,27,,,24
investments....,,,4,,,4
Cash on hand .,625,,,446,,
Total.,"$3,107","$3,461",$49,"$2,437","$2,950",$300
