Level1,"December 31,2019",,Level2,Other (a),,Total
Assets of U.S. defined benefit plan:,,,,,,
Fixed income securities and cash equivalents.,,"$640,640",,640,,"640,640"
Equity securities .,,,,,347,
Total..,,"$987,987",,,987,
Assets of U.S. retiree health care plan:,,,,,,
Fixed income securities and cash equivalents.,,"$168,230",,62,,"168,230"
Equity securities,,,,,126,
Total..,,"$356,356",,,294,
Assets of non-U.S. defined benefit plans:,,,,,,
Fixed income securities and cash equivalents.,,"$1,947,100",,59,,"1,947,100"
Equity securities,,,,41,,"2,671,714"
Total..,,"$2,661,100",,,100,
