"(Millions of dollars,except share and per-share amounts)","For Years Ended December 31,","For Years Ended December 31,","For Years Ended December 31,","For Years Ended December 31,","For Years Ended December 31,"
"(Millions of dollars,except share and per-share amounts)",2020,2019,2018,2017,2016
Cash flow data:,,,,,
Cash flows from operating activities .,"$ 6,139","6,649","S 7,189","$ 5,363","$4,614"
Capital expenditure..,649,847,"1,131",695,531
Free cash flow (a)...,"5,490","5,802","6,058","4,668","4,083"
Dividends paid.. ·,"3,426","3,008","2,555","2,104","1,646"
Stock repurchases..,"2,553","2,960","5,100","2,556","2,132"
Income statement data:,,,,,
Revenue by segment:,,,,,
Analog.,"10,886","10,223","10,801","9,900","8,536"
Embedded Processing..,"2,570","2,943","3,554","3,498","3,023"
Other...,"1,005","1,217","1,429","1,563","1,811"
Revenue... ····,"14,461","14,383","15,784","14,961","13,370"
Gross profit...,,,,,
Operating expenses (R&D and SG&A). .·.,"9,269 3,153","9,164 3,189","10,277","9,614","8,257"
Acquisition charege..,198,,"3,243","3,202","3,098"
Restructuring charges/other.,24,288,318,318,319
Operating profit .,"5,894","(36) 5,723","3 6,713",11,(15)
,,,,"6,083","4,855"
Net income .,"$5,595","$ 5,017","$5,580","$3,682","$3,595"
