,"December 31,2020","December 31,2020","December 31,2020","December 31,2020","December 31,2020",
,Level 1,Level 2,,Other (a),Total,
Assets of U.S. defined benefit plan:,,,,,,
Fixed income securities and cash equivalents..,$,$,$,$743 $743,$743 $743,
Equity securities.,,,,318,318,
Total..,$ 丨,$ 丨,$ 丨,"$ 1,061 $1,061","$ 1,061 $1,061",
Assets of U.S.retiree health care plan: Fixed income securities and cash equivalents.,,,,,,
,$29,$,$222,,$251,
Equity securities. Total.,,$ 丨,138 $360,,138,
,$29,,,,$389,
Assets of non-U.S.defined benefit plans:,,,,,,
Fixed income securities and cash equivalents..,$69,$146,"$ 2,063","$ 2,063","$ 2,063",
Equity securities.,43,2,685,685,685,
Total .,$112,$148,,,,
,,,"$2,748 $ 3.008","$2,748 $ 3.008","$2,748 $ 3.008",
