,U.S. Defined Benefit,U.S. Defined Benefit,U.S. Retiree Health Care,Non-U.S. Defined Benefit,Total
2020,,,,,
Overfunded retirement plans.,$ 9,,$3,$234,$246
Accrued expenses and other liabilities &other long-term liabilitie....,(6),,,(5),(11)
Underfunded retirement plans,(39),,(3),(89),(131)
Funded status at end of 2020.,$ (36),,$-,$140,$104
2019,,,,,
Overfunded retirement plans,$73,,$ 一,$145,$218
Accrued expenses and other liabilities &other long-term liabilities .,(17),,,(4),(21)
Underfunded retirement plans,(29),,(3),(61),(93)
Funded status at end of 2019.,$27,,$ (3),$80,$104
