"Consolidated Statements of Stockholders' Equity (Millions of dollars, except per-share amounts)",Common Stock,Paid-in Capital,Retained Earnings,Treasury Common Stock,AOCI
"Balance,December 31,2017.","$1,741","$1,776","$34,662","$(27,458)",$ (384)
2018,,,,,
Net income. Dividends declared and paid ($2.63 per share)..,,,"5,580 (2,555)",,
Common stock issued for stock-based awards,,(55),,428,
Stock repurchases .,,,,"(5,100)",
Stock compensation..,,232,,,
"Other comprehensive income (loss), net of taxes",,,,,(59)
Dividend equivalents on RS...,,,(17),,
Cumulative effect of accounting changes .,,,236,,
Other..,,(3),,,(30)
"Balance, December 31,2018.","1,741","1,950","37,906","(32,130)",
,,,,,（473)
2019,,,,,
Net income..,,,"5,017",,
Dividends declared and paid ($3.21 per share).,,,"(3,008)",,
Common stock issued for stock-based awards,,(55),,594,
Stock repurchases .,,一,,"(2,960)",
Stock compensation...,,217,,,
"Other comprehensive income (loss),net of taxes .",,,,,126
Dividend equivalents on RSUs .,,,(17),,
Other..,,(2),,1,
"Balance, December 31,2019..","1,741","2,110","39,898","(34,495)",(347)
2020,,,,,
Net income...,,,"5,595",,
Dividends declared and paid ($3.72 per share),,,"(3,426)",,
Common stock issued for stock-based awards,,,,,
Stock repurchases .,,,,470,
,,,,"(2,553)",
Stock compensation,,224,,,
"Other comprehensive income (loss), net of taxes..",,一,,,(13)
Dividend equivalents on RSUs..,,,(16),,
Other . ···························.,,,(1),,
"Balance, December 31,2020","$1,741","$ 2,333","$42,051","$(36,578)",$ (360)
