Consolidated Statements of Income,,"For Years Ended December 31,","For Years Ended December 31,","For Years Ended December 31,"
Revenue,"$ 14,461","$ 14,383","$ 15,784",
Cost of revenue (COR),"5,192","5,219","5,507",
Gross profit,"9,269","9,164","10,277",
Research and development (R&D),"1,530","1,544","1,559",
"Selling, general and administrative (SG&A)","1,623","1,645","1,684",
Acquisition charges,198,288,318,
Restructuring charges/other,24,(36),3,
Operating profit,"5,894","5,723","6,713",
"Other income (expense), net (OI&E)",313,175,98,
Interest and debt expense,190,170,125,
Income before income taxes,"6,017","5,728","6,686",
Provision for income taxes,422,711,"1,106",
Net income,"$ 5,595","$ 5,017","$ 5,580",
Earnings per common share (EPS):,,,,
Basic,$ 6.05,$ 5.33,$ 5.71,
Diluted,$ 5.97,$ 5.24,$ 5.59,
Average shares outstanding (millions):,,,,
Basic,921,936,970,
Diluted,933,952,990,
