,Option Awards,Option Awards,Option Awards,Option Awards,Stock Awards Market Value,Stock Awards Market Value,
,Number of Securities Underlying Unexercised Options (#),Number of Securities Underlying Unexercised Options (#),Option Exercise,Option Expiration,Number of Shares or Units of Stock That Have Not,of Shares or Units of Stock That Have Not Vested,
Name R. K. Templeton.,Exercisable,"Unexercisable 254,216 (2)",Price ($) $130.52,Date 1/24/2030,"Vested (#) 49,801 (6)","($)(1) $8,173,838",
,"73,656","220,971 (3)",$104.41,1/25/2029,"62,255 (7)","$10,217,913",
,"129,201","129,202 (4)",$110.15,1/25/2028,"54,472 (8)","$8,940,489",
,"250,211","83,404 (5)",$ 79.26,1/26/2027,"69,392 (9)","$11,389,309",
,"489,557",,$ 52.93,1/29/2026,,,
,"516,440",,$ 53.94,1/28/2025,,,
,"602,692",,$ 44.09,1/23/2024,,,
,,"64,532 (2)",$130.52,1/24/2030,"12,642 (6)","$ 2,074,931",
R.R.Lizardi,"16,997","50,994 (3)",$104.41,1/25/2029,"14,367 (7)","$2,358,056",
R.R.Lizardi,"25,840","25,841 (4)",$110.15,1/25/2028,"10,895 (8)","$ 1,788,196",
R.R.Lizardi,,"15,165 (5)",$ 79.26,1/26/2027,"12,617 (9)","$2,070,828",
R.R.Lizardi,,,,,"12,617 (9)","$2,070,828",
R.R.Lizardi,,"87,998 (2)",$130.52,1/24/2030,"17,239 (6)","$2,829,437",
H. Ilan.,"21,530","64,592 (3)",$104.41,1/25/2029,"18,198 (7)",,"$2,986,838"
H. Ilan.,"40,914","40,914 (4)",$110.15,1/25/2028,"17,250 (8)",,"$2,831,243"
H. Ilan.,"79,613","26,538 (5)",$ 79.26,1/26/2027,"22,080 (9)",,"$3,623,990"
H. Ilan.,,"70,399 (2)",$130.52,1/24/2030,"13,791 (6)",,"$2,263,517"
K.M. Flessner.,"16,997","50,994 (3)",$104.41,1/25/2029,"14,367 (7)",,"$2,358,056"
K.M. Flessner.,"21,534","21,534 (4)",$110.15,1/25/2028,"9,079 (8)",,"$1,490,136"
K.M. Flessner.,"22,746","7,583 (5)",$ 79.26,1/26/2027,"6,309 (9)",$,"1,035,496"
K.M. Flessner.,,"58,666 (2)",$130.52,1/24/2030,"11,493 (6)",$,"1,886,346"
H.H. Kozanian.,,"33,996 (3)",$104.41,1/25/2029,"9,578 (7)",$,"1,572,037"
H.H. Kozanian.,,"10,767 (4)",$110.15,1/25/2028,"4,540 (8)",$,"745,150"
H.H. Kozanian.,,"3,792 (5)",$ 79.26,1/26/2027,"3,155 (9)",$,"517,830"
H.H. Kozanian.,,,,,"9,736 (10)",$,"1,597,970"
H.H. Kozanian.,,"74,310 (2)",$130.52,1/24/2030,"14,558 (6)",,"$ 2,389,405"
N. Anderskouv..,,"64,592 (3)",$104.41,1/25/2029,"18,198 (7)",,"$2,986,838"
N. Anderskouv..,,"40,914 (4)",$110.15,1/25/2028,"17,250 (8)",,"$2,831,243"
N. Anderskouv..,,"26,538 (5)",$ 79.26,1/26/2027,"22,080 (9)",,"$3,623,990"
N. Anderskouv..,,,,,,,
