,U.S. Defined Benefit,U.S. Defined Benefit,U.S. Defined Benefit,U.S. Defined Benefit,U.S. Retiree Health Care,U.S. Retiree Health Care,U.S. Retiree Health Care,Non-U.S. Defined Benefit,Non-U.S. Defined Benefit
,2020,,2019,,2020,,2019,2020,2019
Change in plan benefit obligation,Change in plan benefit obligation,Change in plan benefit obligation,Change in plan benefit obligation,Change in plan benefit obligation,Change in plan benefit obligation,Change in plan benefit obligation,Change in plan benefit obligation,Change in plan benefit obligation,Change in plan benefit obligation
Benefit obligation at beginning of year:,$,960,$ 874,,359,$,361,"$ 2,581","$2,411"
Service cost..,,18,,18,3,,3,34,31
Interest cost..,,31,,38,13,,14,38,43
Participant contributions ..,,1,,,13,,13,7,7
Benefits paid ..,,(12),,(11),(39),,(41),(95),(103)
Settlements.....,,(94),,(66),1,,,(8),(12)
Curtailments ...,,1,,,一,,,丨,(1)
Actuarial loss (gain)..,,194,,107,40,,9,143,193
Plan amendments ...,,,,,,,,1,一
Effects of exchange rate change...,,,,,,,,167,12
Benefit obligation at end of year..,"$1,097",,$ 960,$,389,$,359,"$ 2,868","$2,581"
Change in plan assets Fair value of plan assets at beginning of year:..,987,,869,$,,$,330,"$ 2,661","$2,410"
Actual return on plan assets .,$ 164,,185,,356,,,260,337
Employer contributions (qualified plans).,,,,,58,,53 1,11,9
Employer contributions (non-qualified plans..,,1,10,,1,,,,
Participant contributions..,,16,,,1,,,1,7
Benefits paid..,,1,一 (11),,13,,13 (41),7,
Settlements ...,,(12),,,(39),,,(95),(103)
Effects of exchange rate changes..,(94),,(66),,丨,,,(8),(12)
,二,,,,一,,,172,13
Fair value of plan assets at end of ye.... Funded status at end of year .,"$1,061 $ (36)",,987 27,$ $,389,$ $,356 (3) $,"$3,008 140","$2,661 $ 80"
