Form of Compensation,Disability,Death,Involuntary Termination for Cause,Resignation; Involuntary Termination (not for Cause),Retirement,Change in Control
R. K. Templeton (1),Qualified Defined Benefit Pension Plan,"$ 1,102,940 (2)","$ 557,084 (3)","$ 1,112,181 (4)","$ 1,112,181 (4)","$ 1,112,181 (4),"
,Non-Qual. Defined Benefit Pension Plan,"$ 609,677 (5)","$ 256,240 (3)","$ 511,567 (4)","$ 511,567 (4)","$ 511,567 (4),"
,Non-Qual. Defined Benefit Pension Plan II...,"$ 217,182 (5)","$ 151,890 (3)","$ 303,240 (4)","$ 303,240 (4)","$ 303,240 (4),"
,Survivor Benefit Plan,,"$ 961,774 (6)",,,","
,Deferred Compensation (7),,"$ 1,499,762",,,","
,RSUs,"$ 58,417,150 (8)","$ 58,417,150 (8)","$ 19,695,600 (9)","$ 58,417,150 (10)","$ 58,417,150 (10),$ 19,695,600 (9)"
,Stock Options,"$ 252,094,233 (11)","$ 252,094,233 (11)",,"$ 252,094,233 (11)","$ 252,094,233 (11),"
,R. K. Templeton Total,"$ 312,441,182","$ 313,938,133","$ 21,622,588","$ 312,438,371","$ 312,438,371,$ 20,207,167"
R. R. Lizardi,Qualified Defined Benefit Pension Plan,,,,,","
,Non-Qual. Defined Benefit Pension Plan,,,,,","
,Non-Qual. Defined Benefit Pension Plan II...,,,,,","
,Survivor Benefit Plan,,,,,","
,Deferred Compensation (7),,"$ 898,978",,,","
,RSUs,"$ 10,362,840 (8)","$ 10,362,840 (8)",,,","
,Stock Options,"$ 10,306,137 (11)","$ 10,306,137 (11)",,"$ 2,409,904 (12)",","
,R. R. Lizardi Total,"$ 20,668,977","$ 21,567,955",,"$ 2,409,904",","
H. Ilan,Qualified Defined Benefit Pension Plan,,,,,
,Non-Qual. Defined Benefit Pension Plan,,,,,","
,Non-Qual. Defined Benefit Pension Plan II...,,,,,","
,Survivor Benefit Plan,,,,,","
,Deferred Compensation (7),,"$ 1,328,487",,,","
,RSUs,"$ 12,271,508 (8)","$ 12,271,508 (8)",,,","
,Stock Options,"$ 21,526,929 (11)","$ 21,526,929 (11)",,"$ 10,251,065 (12)",","
,H. Ilan Total,"$ 33,798,437","$ 35,126,924",,"$ 10,251,065",","
K. M. Flessner,Qualified Defined Benefit Pension Plan,"$ 30,953 (2)","$ 9,119 (3)","$ 19,671(4)","$ 19,671 (4)","$ 19,671(4)"
,Non-Qual. Defined Benefit Pension Plan,,,,,","
,Non-Qual. Defined Benefit Pension Plan II...,,,,,","
,Survivor Benefit Plan,,,,,","
,Deferred Compensation (7),,"$ 358,982",,,","
,RSUs,"$ 7,147,205 (8)","$ 7,147,205 (8)",,,","
,Stock Options,"$ 11,325,366 (11)","$ 11,325,366 (11)",,"$ 4,107,919 (12)",","
,K. M. Flessner Total,"$ 18,503,524","$ 18,840,672","$ 19,671","$ 4,127,590","$ 19,671"
H. H. Kozanian,Qualified Defined Benefit Pension Plan,,,,,
,Non-Qual. Defined Benefit Pension Plan,,,,,","
,Non-Qual. Defined Benefit Pension Plan II...,,,,,","
,Survivor Benefit Plan,,,,,","
,Deferred Compensation (7),,"$ 84,013",,,","
,RSUs,"$ 6,319,333 (8)","$ 6,319,333 (8)",,,","
,Stock Options,"$ 4,905,035 (11)","$ 4,905,035 (11)",,,","
,H. H. Kozanian Total,"$ 11,224,368","$ 11,308,381",,,","
N. Anderskouv,Qualified Defined Benefit Pension Plan,,,,,
,Non-Qual. Defined Benefit Pension Plan,,,,,","
,Non-Qual. Defined Benefit Pension Plan II...,,,,,","
,Survivor Benefit Plan,,,,,","
,Deferred Compensation (7),,"$ 712,523",,,","
,RSUs,"$ 11,831,475 (8)","$ 11,831,475 (8)",,,","
,Stock Options,"$ 10,815,811 (11)","$ 10,815,811 (11)",,,","
,N. Anderskouv Total,"$ 22,647,286","$ 23,359,809",,,","
