"Years Ended December 31,2020",2019,2018,2017,2016
Cash flow data:,Cash flows from operating activities,"$ 6,139","$ 6,649","$ 7,189"
Capital expenditures,649,847,"1,131",695
Free cash flow (a),"5,490","5,802","6,058","4,668"
Dividends paid,"3,426","3,008","2,555","2,104"
Stock repurchases,"2,553","2,960","5,100","2,556"
Income statement data:,Revenue by segment:,,,
Analog,"10,886","10,223","10,801","9,900"
Embedded Processing,"2,570","2,943","3,554","3,498"
Other,"1,005","1,217","1,429","1,563"
Revenue,"14,461","14,383","15,784","14,961"
Gross profit,,,,
Operating expenses (R&D and SG&A),,"9,269 3,153","9,164 3,189","10,277"
Acquisition charges,198,,318,318
Restructuring charges/other,24,(36),3,11
Operating profit,"5,894","5,723","6,713","6,083"
Net income,"$ 5,595","$ 5,017","$ 5,580","$ 3,682"
