Name and Principal,,Salary,Stock Awards,Option Awards,Non-Equity Incentive Plan Compensation,Change in Pension Value and Nonqualified Deferred Compensation,All Other Compensation,
Position,Year,"S $1,336,667","($)(1) $6,500,027","($)(2) $6,500,015","($)(3) $4,012,333","Earnings ($) (4) $199,431",($)(5),Total (S)
"Richard K. Templeton... 2020 Chairman,President &",2019,"$1,295,833","$6,500,045","$6,500,012","$3,809,167","$202,588","$508,179 $326,162","$19,056,652 $18,633,807"
Chief Executive Officer,2018,"$1,131,252","$6,000,091","$6,000,019","$4,026,250",,"$418,612","$17,576,224"
RafaelR.Lizardi.. Senior Vice President&,2020 2019,"$696,667 $ 655,000","$1,650,034 $1,500,058","$1,650,010 $1,500,006","$1,139,333 $1,081,000",,"$116,989 $125,671","$ 5,253,033 $4,861,735"
Chief Financial Officer,2018,"$ 591,667","$1,200,084","$1,200,013","$1,118,333",,"$ 77,072","$ 4,187,169"
Haviv Ilan ....,2020,"$ 779,167","$2,250,034","$2,250,009","$1,855,833",,"$87,458",
Executive Vice President &,2019,"$711,667","$1,900,053","$1,900,009","$1,282,333",,"$ 68,153","$ 7,222,501 $ 5,862,215"
Chief Operating Officer,2018,"$ 668,750","$1,900,088","$1,900,015","$1,333,750",,"$ 51,813","$ 5,854,416"
Kyle M. Flessne....,2020,"$ 655,000","$1,800,001","$1,800,023","$1,331,000","$ 4,324","$107,992","$ 5,698,340"
Senior Vice President Hagop H. Kozanian.... 2020,,,,,,,,
Senior Vice President Niels Anderskouv.,,"$ 593,750","$1,500,066","$1,500,023","$1,318,750",,"$ 47,905","$ 4,960,494"
Senior Vice President,2020 2019,"$737,917","$1,900,110","$1,900,023","$1,347,583 $1,282,333",,"$119,075","$ 6,004,708"
Senior Vice President,,"$711,667","$1,900,053","$1,900,009","$1,333,750",,"$103,898 $89,458","$5,897,960"
Senior Vice President,,"2018 $ 668,750","$1,900,088 $1,900,015",,,,,"$ 5,892,061"
