,Stock Options,RSUs,Treasury Shares
"Balance,December 31,2017.",,,"757,657,217"
Repurchases...,,,"49,482,220"
Shares used for:,,"(2,769,994)",
Stock options/RSUs.. Stock applied to taxes .,"(8,432,458)","553,720",
ESPP Director deferred stock units..,"(819,878)",,"(5,181)"
Total issued.,"(9,252,336)","(2,216,274)","(11,468,610)"
"Balance,December 31,2018.",,,"795,665,646"
Repurchases..,,,"27,398,701"
Shares used for:,,,
Stock options/RSUs . Stock applied to taxes .,"(11,529,174)","(2,370,762) 490,347",
ESPP.,"(798,806)",,
Director deferred stock units.,,,"(71,571)"
Total issued.,"(12,327,980)","(1,880,415)","(14,208,395)"
"Balance, December 31,2019.",,,"808,784,381"
Repurchases .,,,
Shares used for:,,,"23,430,215"
Stock options/RSUs.,"(8,392,354)",,
Stock applied to taxes,,"(2,034,933)",
ESPP,,"421,518",
Director deferred stock units,"(745,483)",,
,,,"(1,557)"
"Total issued. Balance,December 31,2020.","(9,137,837)","(1,613,415)","(10,751,252) 821,461,787"
