Stock Options,RSUs,Treasury Shares
"Balance,December 31,2017.",,
Repurchases...,,
Shares used for:,,"(8,432,458)"
Stock options/RSUs.. Stock applied to taxes .,"-819,878",
ESPP Director deferred stock units..,"-745,483",
Total issued.,"-9,252",(336)
"Balance,December 31,2018.",,
Repurchases..,,
Shares used for:,,"(11,529,174)"
Stock options/RSUs . Stock applied to taxes .,"-8,392",
ESPP.,,
Director deferred stock units.,,"(71,571)"
Total issued.,"-12,327",(980)
"Balance, December 31,2019.",,
Repurchases .,,
Shares used for:,,"(8,392)"
Stock options/RSUs.,,
"Stock applied to taxes,",,
"ESPP,",,
Director deferred stock units,,"(745,483)"
"Total issued. Balance,December 31,2020.","-9,137",(837)
,,
