Name and Principal Position,Year,Salary ($),Stock Awards ($ (1)),Option Awards ($ (2)),Non-Equity Incentive Plan Compensation ($ (3)),Change in Pension Value and Nonqualified Deferred Compensation Earnings ($ (4)),All Other Compensation ($ (5)),Total ($)
Richard K. Templeton ...,2020,"$1,336,667","$6,500,027","$6,500,015","$4,012,333","$199,431","$508,179","$19,056,652"
Richard K. Templeton ...,2019,"$1,295,833","$6,500,045","$6,500,012","$3,809,167","$202,588","$326,162","$18,633,807"
Richard K. Templeton ...,2018,"$1,131,252","$6,000,091","$6,000,019","$4,026,250",—,"$418,612","$17,576,224"
Rafael R. Lizardi,2020,"$696,667","$1,650,034","$1,650,010","$1,139,333",—,"$116,989","$5,253,033"
Rafael R. Lizardi,2019,"$655,000","$1,500,058","$1,500,006","$1,081,000",—,"$125,671","$4,861,735"
Rafael R. Lizardi,2018,"$591,667","$1,200,084","$1,200,013","$1,118,333",—,"$77,072","$4,187,169"
Haviv Ilan,2020,"$779,167","$2,250,034","$2,250,009","$1,855,833",—,"$87,458","$7,222,501"
Haviv Ilan,2019,"$711,667","$1,900,053","$1,900,009","$1,282,333",—,"$68,153","$5,862,215"
Haviv Ilan,2018,"$668,750","$1,900,088","$1,900,015","$1,333,750",—,"$51,813","$5,854,416"
Kyle M. Flessner,2020,"$655,000","$1,800,001","$1,800,023","$1,331,000","$4,324","$107,992","$5,698,340"
Hagop H. Kozanian,2020,"$593,750","$1,500,066","$1,500,023","$1,318,750",—,"$47,905","$4,960,494"
Niels Anderskouv,2020,"$737,917","$1,900,110","$1,900,023","$1,347,583",—,"$119,075","$6,004,708"
Niels Anderskouv,2019,"$711,667","$1,900,053","$1,900,009","$1,282,333",—,"$103,898","$5,897,960"
Niels Anderskouv,2018,"$668,750","$1,900,088","$1,900,015","$1,333,750",—,"$89,458","$5,892,061"
