Shares Obtainable,,RSUs,Shares Credited to Deferred Compensation
Directors,within 60 Days,(in Shares) (a),Accounts (b)
M. A. Blinn .,"4,703","11,901","9,068"
T.M.Bluedorn,"6,472","4,630","6,093"
J. F. Clark...,"22,527","7,780",
C. S. Cox..,"22,527","30,926","2,859"
M. S. Craighead. J. M. Hobby ...,"3,243","3,723",
M. D. Hsu ...,"12,537","3,891 2,064",632
R. Kirk ...,"45,365","3,891","4,160"
P.H. Patsley.,"60,114","5,891","52,281"
R.E. Sanchez.,"45,365","7,633","9,932"
R.K.Templeton,"2,346,973","355,920",
