U.S. Defined Benefit,2020,,2019,,U.S. Retiree Health Care,2020,,2019,Non-U.S. Defined Benefit,2020,,2019
Benefit obligation at beginning of year,$960,,$874,,$359,$361,,$2581,$2411,,,
Service cost,18,,18,,3,,3,34,31,,,
Interest cost,31,,38,,13,,14,38,43,,,
Participant contributions,-,,13,,13,,7,7,,,,
Benefits paid,-12,,-11,,-39,,-41,-95,-103,,,
Settlements,-94,,-66,,-,--,-8,12,,,,
Curtailments,-,,-,,-,-,-1,,,,,
Actuarial loss (gain),194,,107,,40,,9,143,193,,,
Plan amendments,-,,-,,-,,1,--,,,,
Effects of exchange rate changes,-,,-,,-,,167,12,,,,
Benefit obligation at end of year,$1097,,$960,,$389,$359,,$2868,$2581,,,
Fair value of plan assets at beginning of year,$987,,$869,,$356,$330,,$2661,$2410,,,
Actual return on plan assets,164,,185,,58,,53,260,337,,,
Employer contributions (qualified plans),-,,-,,-,,1,11,9,,,
Employer contributions (non-qualified plans),16,,10,,-,--,-,-,,,,
Participant contributions,-,,-,,13,,13,7,7,,,
Benefits paid,-12,,-11,,-39,,-41,-95,-103,,,
Settlements,-94,,-66,,-,--,-8,12,,,,
Effects of exchange rate changes,-,,-,,-,,172,13,,,,
Fair value of plan assets at end of year,$1061,,$987,,$389,$356,,$3008,$2661,,,
Funded status at end of year,-$36,,$27,,-,-,-$,3,$140,$80,,
