Director,ConsolidatedSalary,Perquisitesand otherBenefits,PerformanceBonus /Commission,SittingFees,Total
Y. C. DeveshwarS. S. H. Rehman,204.00,28.51,204.00,,436.51195.93
Y. C. DeveshwarS. S. H. Rehman,94.50,21.10,80.33,1,436.51195.93
A. Singh,94.50,15.80,80.33,,190.63
K. Vaidyanath,79.50,12.84,67.58,,159.92
J. P. Daly,/,／,4.00 *,1@,4.00
C. R. Green,,,4.00 *,1@,4.00
S. H. Khan**S. B. MathurD.K. Mehrotra***P. B. RamanujamB. SenRam S.TarnejaT. S. Vijyan+B.Vijyaraghavan,,,1.68,0.15,1.83
S. H. Khan**S. B. MathurD.K. Mehrotra***P. B. RamanujamB. SenRam S.TarnejaT. S. Vijyan+B.Vijyaraghavan,,,4.00 *,1.85,5.85
S. H. Khan**S. B. MathurD.K. Mehrotra***P. B. RamanujamB. SenRam S.TarnejaT. S. Vijyan+B.Vijyaraghavan,,,3.40 *,0.45 *,3.85
S. H. Khan**S. B. MathurD.K. Mehrotra***P. B. RamanujamB. SenRam S.TarnejaT. S. Vijyan+B.Vijyaraghavan,,,4.00 *,2.15,6.15
S. H. Khan**S. B. MathurD.K. Mehrotra***P. B. RamanujamB. SenRam S.TarnejaT. S. Vijyan+B.Vijyaraghavan,,,4.00,2.55,6.55
S. H. Khan**S. B. MathurD.K. Mehrotra***P. B. RamanujamB. SenRam S.TarnejaT. S. Vijyan+B.Vijyaraghavan,,,4.00,0.95,4.95
S. H. Khan**S. B. MathurD.K. Mehrotra***P. B. RamanujamB. SenRam S.TarnejaT. S. Vijyan+B.Vijyaraghavan,,,0.60 *,1,0.60
S. H. Khan**S. B. MathurD.K. Mehrotra***P. B. RamanujamB. SenRam S.TarnejaT. S. Vijyan+B.Vijyaraghavan,,,4.00,1.70,5.70
