Exceptional Items,Exceptional Items,Exceptional Items
a）,Profit Before Taxation and,2007 2006 3926.70 3269.19
b) Income Tax,,1226.73 988.82
c),Profit After Taxation Before Exceptional Items,2699.97 2280.37
d) e),Exceptional Items (net of tax) Profit After Tax,(45.02) 2699.97 2235.35
f),Add ：Profit brought forward,
g）,from previous year Surplus available for,562.06 611.41
h) i),Appropriation Transfer to General Reserve,3262.03 2846.76 1250.00
,Proposed dividend for the financial year at the rate of Rs.3.10 per Ordinary Share of Re.1/- each (previous year :,1150.00
Rs.2.65 per Share) Income Tax on proposed j),Rs.2.65 per Share) Income Tax on proposed j),1166.29 995.12
dividend (2006 - including Rs.0.02 crore for earlier years) Retained profit carried forward,198.21,139.58
dividend (2006 - including Rs.0.02 crore for earlier years) Retained profit carried forward,,562.06
to the following year,647.53 3262.03,2846.76
