No. of SharesSlab,No. of Shareholders,No. of Shareholders,No. of Shareholders,No. of Shareholders,No. of Shares,No. of Shares,No. of Shares,No. of Shares,No. of Shares,No. of Shares
No. of SharesSlab,Physical,Demat,Total,%,Physical,%,Demat,%,Total,%
1-5000,"49,439","4,31,952","4,81,391",95.60,"5,23,33,581",1.39,"16,20,62,192",4.31,"21,43,95,773",5.70
5001-10000,"3,562","8,367","11,929",2.37,"2,60,77,230",0.70,"6,07,15,899",1.61,"8,67,93,129",2.31
10001-20000,"1,424",4，284,"5,708",1.13,"1,96,51,520",0.52,"6,00,36,568",1.60,"7,96,88,088",2.12
20001-30000,569,"1,441","2,010",0.40,"1,39,13,690",0.37,"3,53,94,030",0.94,"4,93,07,720",1.31
30001-40000,179,562,741,0.15,"62,14,745",0.17,"1,94,78,653",0.51,"2,56,93,398",0.68
40001-50000,112,375,487,0.10,"50,12,550",0.13,"1,69,58,039",0.45,"2,19,70,589",0.58
50001-100000,113,563,676,0.13,"78,83,205",0.21,"3,83,20,688",1.02,"4,62,03,893",1.23
100001 and above,52,563,615,0.12,"1,22,01,72,195",32.43,"2,01,79,97,995",53.64,"3,23,81,70,190",86.07
Total,"55,450","4,48,107","5,03,557",100.00,"1,35,12,58,716",35.92,"2,41,09,64,064",64.08,"3,76,22,22,780",100.00
