Director,Consolidated Salary,Perquisites and other Benefits,Performance Bonus / Commission,Sitting Fees,Total
Y. C. Deveshwar,204.00,28.51,204.00,—,436.51
S. S. H. Rehman,94.50,21.10,80.33,—,195.93
A. Singh,94.50,15.80,80.33,—,190.63
K. Vaidyanath,79.50,12.84,67.58,—,159.92
J. P. Daly,—,—,4.00 *,— @,4.00
C. R. Green,—,—,4.00 *,— @,4.00
S. H. Khan**,—,—,1.68,0.15,1.83
S. B. Mathur,—,—,4.00 *,1.85,5.85
D. K. Mehrotra***,—,—,3.40 *,0.45 *,3.85
P. B. Ramanujam,—,—,4.00 *,2.15,6.15
B. Sen,—,—,4.00,2.55,6.55
Ram S. Tarneja,—,—,4.00,0.95,4.95
T. S. Vijayan+,—,—,0.60 *,—,0.60
B. Vijayaraghavan,—,—,4.00,1.70,5.70
