Sl.No.,Name of the Shareholder,No. of Shares held,%
1,Tobacco Manufacturers (India) Limited,"99,27,82,440",26.39
2,Life Insurance Corporation of India*,"79,57,681",12.70
3,Unit Trust of India*,"86,47,169",11.93
4,Myddleton Investment Co. Limited,"21,03,980",4.31
5,The New India Assurance Company Limited,"37,56,835",2.49
6,General Insurance Corporation of India,"50,25,522",1.99
7,The Oriental Insurance Company Limited,"43,10,780",1.98
8,National Insurance Company Limited,"89,61,110",1.83
9,"Citibank N.A. New York, NY ADR Department**","56,13,501",1.48
10,Rothmans International Enterprises Limited,"16,51,630",1.37
