Director,Category,No.ofotherDirectorship(s) (*),No. ofMembership(s)/Chairmanship(s)of BoardCommittesof othercompanies(（**)
Executive Directors,Executive Directors,,
Y. C. Deveshwar,Chairman,3,Nil
S.S.H. Rehman,,8,Nil
A Singh,,2,Nil
. Vaidyanath,,6,4(including 3as Chairman)
Non-Executive Directors,Non-Executive Directors,Non-Executive Directors,Non-Executive Directors
S. H. Khan***,Independent Director,6,7(including 4as Chairman)
B.Sen,Independent Director,5,4(indluding 1as Chairman)
Ram S.Tarmeja,Independent Director,11,6(indluding 2as Chairman)
B Vijyaraghavan,Independent Director,Nil,Nil
S. B.Mathur,Independent Director-Representative ofLife InsuranceCorporation of lndiaas Ivestor,13,2(including 1as Chairman)
P. B. Ramanujam,Independent irector-RepresentativeofGeneral InsuranceCorporation of Indiaand its erstwhilesubsidiresaslnvestr,2,Nil
D. K.Mehrotra****,Independent Director-Representive fSpeslified Undertakingof theUnt Trust flndiaas Ivestor,2,Nil
J. P.Daly,,Nil,Nil
. R. Green,,Nil,Nil
