Director,Category,No. of other Directorship(s),No. of Membership(s)/Chairmanship(s) of Board Committees of other companies
Y. C. Deveshwar,Chairman,3,Nil
S. S. H. Rehman,,8,Nil
A. Singh,,2,Nil
K. Vaidyanath,,6,4 (including 3 as Chairman)
S. H. Khan***,Independent Director,6,7 (including 4 as Chairman)
B. Sen,Independent Director,5,4 (including 1 as Chairman)
Ram S. Tarneja,Independent Director,11,6 (including 2 as Chairman)
B. Vijayaraghavan,Independent Director,Nil,Nil
S. B. Mathur,Independent Director - Representative of Life Insurance Corporation of India as Investor,13,2 (including 1 as Chairman)
P. B. Ramanujam,Independent Director - Representative of General Insurance Corporation of India and its erstwhile subsidiaries as Investor,2,Nil
D. K. Mehrotra****,Independent Director - Representative of Specified Undertaking of the Unit Trust of India as Investor,2,Nil
J. P. Daly,,Nil,Nil
C. R. Green,,Nil,Nil
