```csv
"($ in millions, except per share amounts)","Year ended December 31, 2020","Effect of accounting policy changes ($)","LIHTC","Solar","Year ended December 31, 2019","Effect of accounting policy changes ($)","LIHTC","Solar","As revised","As reported","As revised","As reported","As revised"
"Interest income – loans","$ 34,109","—","121","34,230","44,146","—","72","44,218","As reported","As reported","As revised","As reported","As revised"
"Noninterest income","32,505","1,507","296","34,308","37,832","1,486","211","39,529","As reported","As reported","As revised","As reported","As revised"
"Income tax expense (benefit)","(3,005)","1,431","417","(1,157)","4,157","1,321","283","5,761","As reported","As reported","As revised","As reported","As revised"
"Net income","3,301","76","—","3,377","19,549","166","—","19,715","As reported","As reported","As revised","As reported","As revised"
"Earnings per common share","0.42","0.01","—","0.43","4.08","0.04","—","4.12","As reported","As reported","As revised","As reported","As revised"
"Diluted earnings per common share","0.41","0.02","—","0.43","4.05","0.04","—","4.09","As reported","As reported","As revised","As reported","As revised"
"Equity securities","$ 62,260","(275)","(1,977)","60,008","As reported","(275)","(1,977)","60,008","As reported","As reported","As revised","As reported","As revised"
"Accrued expenses and other liabilities","76,404","(67)","(1,977)","74,360","As reported","(67)","(1,977)","74,360","As reported","As reported","As revised","As reported","As revised"
"Retained earnings","162,890","(207)","—","162,683","As reported","(207)","—","162,683","As reported","As reported","As revised","As reported","As revised"
```
