Chapt. 8: The Cellular Basis of Reproduction and Inheritance
الأساس الخلوي للتكاثر والوراثة
المصطلح | تعريف المصطلح
--- | ---
Asexual Reproduction | التكاثر اللا جنسي
Sexual Reproduction | التكاثر الجنسي
Binary Fission | الانشقاق الثنائي "الانقسام إلى نصفين"
Prokaryotic Cell | الخلايا أولية النواة
Two Identical Cells Arise From One Cell | ينتج خليتين متماثلتين من خلية واحدة
Chromosome | الكروموسوم
Duplicates | يتضاعف
Copy | نسخ
Cell Elongates | تستطيل الخلية
Plasma Membrane | غشاء البلازما
Eukaryotic | حقيقية النواة
Cell Cycle | دورة الخلية
Mitosis | الانقسام الفتيلي (اللا انتصافي)
Chromatin | مادة الكروماتين
Chromatin = DNA + Proteins | الكروماتين = دنا + بروتينات
Compact Chromatin = Chromosomes | يتكتف الكروماتين بدرجة عالية = الكروموسومات
