Safety and Convenience,Safety and Convenience,LE,XLE,XLEV6,SE,SE Nightshade,XSE,XSEV6 TRD,LE Hybrid,SE Hybrid,SE Hybrid Nightshade,XLE Hybrid,,XSE Hybrid
"STaR? Star Safety SystemTM-includes Enhanced Vehicle Stability Control (VSC),8 Traction SAFETY SYSTEM Control (TRAC), 4-wheel Anti-lock Brake","STaR? Star Safety SystemTM-includes Enhanced Vehicle Stability Control (VSC),8 Traction SAFETY SYSTEM Control (TRAC), 4-wheel Anti-lock Brake",,,,,,,,,,,,,
"System (ABS),Electronic Brake-force Distribution (EBD), Brake Assist (BA) and Smart Stop Technology? (SST)49 Ten airbags30-includes driver and front passenger Advanced Airbag System,driver and front passenger","System (ABS),Electronic Brake-force Distribution (EBD), Brake Assist (BA) and Smart Stop Technology? (SST)49 Ten airbags30-includes driver and front passenger Advanced Airbag System,driver and front passenger",s,s,s,s,s,s,s,s,s,s,s,s,S
"seat-mounted side airbags,driver and front passenger knee airbags,rear seat-mounted side airbags,and front and rear side curtain airbags","seat-mounted side airbags,driver and front passenger knee airbags,rear seat-mounted side airbags,and front and rear side curtain airbags",,,,,,,,,,,,,
Driver and front passenger Whiplash-Injury-Lessening (WIL)50 seats,Driver and front passenger Whiplash-Injury-Lessening (WIL)50 seats,S s,S s,S s,S s,S s,S s,S s,S S,S s,S s,S s,S s,S s
3-point seatbelts for allseating positions; driver-side Emergency Locking Retractor (ELR) and Automatic/Emergency,3-point seatbelts for allseating positions; driver-side Emergency Locking Retractor (ELR) and Automatic/Emergency,,,,,,,,,,,,,
Locking Retractor (ALR/ELR) on all passenger seatbelts LATCH (Lower Anchors and Tethers for CHildren) includes lower anchors on outboard rear seats,Locking Retractor (ALR/ELR) on all passenger seatbelts LATCH (Lower Anchors and Tethers for CHildren) includes lower anchors on outboard rear seats,S,S,S,S,S,S,S,S,S,S,S,S,S
Child-protector rear door locks and power window,Child-protector rear door locks and power window,s,s,s,s,s,s,s,S,s,s,s,s,s
lockout control Energy-absorbing collapsible steering column,lockout control Energy-absorbing collapsible steering column,S,S,S,S,S,S,S,S,S,S,S,S,S
Frontand rearenergy-absorbing crumple zones,Frontand rearenergy-absorbing crumple zones,s,s,s,s,s,S,s,S,S,S,s,s,s
Side-impact door beams,Side-impact door beams,S,S,S,S,S,S,S,S,S,S,S,S,S
Collision sensors:deactivate high-voltage batery Toyota Safety SenseTM 2.5+ (TSS 2.5+)22- Pre-Collision System,Collision sensors:deactivate high-voltage batery Toyota Safety SenseTM 2.5+ (TSS 2.5+)22- Pre-Collision System,s,s,s,s,s,s,s,S,s S,S S,s S,s S,s S
"with Pedestrian Detection (PCS w/PD),3 Lane Departure Alert with Steering Assst (LDA w/SA),5 Automatic High Beams (AHB)26 Lane Tracing Assist (LTA),27 Road Sign Assst (RSA)2& and Dynamic Radar Cruise Control (DRCC)24","with Pedestrian Detection (PCS w/PD),3 Lane Departure Alert with Steering Assst (LDA w/SA),5 Automatic High Beams (AHB)26 Lane Tracing Assist (LTA),27 Road Sign Assst (RSA)2& and Dynamic Radar Cruise Control (DRCC)24",,,,,,,,,,,,,
"Toyota Safety SenseTM 2.5+ (TSS 2.5+)22-Pre-Collision System with Pedestrian Detection (PCS w/PD),³ Lane Departure Alert with Steering Assist (LDA w/SA)25 Automatic High Beams (AHB),26","Toyota Safety SenseTM 2.5+ (TSS 2.5+)22-Pre-Collision System with Pedestrian Detection (PCS w/PD),³ Lane Departure Alert with Steering Assist (LDA w/SA)25 Automatic High Beams (AHB),26",s,,,s,s,,,,,,,,
"Lane Tracing Assist (LTA), Road Sign Assist (RSA)28 and Full-Speed Range Dynamic Radar Cruise Control (DRC)24","Lane Tracing Assist (LTA), Road Sign Assist (RSA)28 and Full-Speed Range Dynamic Radar Cruise Control (DRC)24",,S,S,,,,,,,,,,
Blind Spot Monitor (BSM)34 with Rear Cross-Traffic Alert (RCTA)35 Front and Rear Parking Asist with Automatic Braking (PA w/AB)37,Blind Spot Monitor (BSM)34 with Rear Cross-Traffic Alert (RCTA)35 Front and Rear Parking Asist with Automatic Braking (PA w/AB)37,P,s,s,p,p,S s,S s,S s,S P,S P,S P,S s,S s
,,,P,P,,,P,P,,,,,P,P
Automatic engine shut off,Automatic engine shut off,S,s,s,s,s,s,s,S,S,S,S,s,s
Hill Start Assist Control (HAC)51,Hill Start Assist Control (HAC)51,S,S,S,S,S,S,S,S,S,S,S,S,S
Anti-theft system with alarm,Anti-theft system with alarm,s,s,s,s,s,s,s,S,S,S,s,s,s
"ToyotaCare,a no cost maintenance plan with Roadside Assistance52","ToyotaCare,a no cost maintenance plan with Roadside Assistance52",S,,,,,,,,,,,,
Rear-Seat Reminder53,Rear-Seat Reminder53,S,S,S S,S s,S s,S s,S s,S,S,S S,S s,S,S s
Integrated backup camera54 with projected path,Integrated backup camera54 with projected path,S,s,,S,,,,S S,S S,,S,s,
Integrated backup camera54 with dynamic gridlines,Integrated backup camera54 with dynamic gridlines,p,s,s,P,S,s,s,,P,S P,,s,s
Packages and Options,Packages and Options,LE,XLE,XLE V6,SE,SE Nightshade,XSE,XSEV6,TRD,LE Hybrid,SE Hybrid,SE Hybrid Nightshade,XLE Hybrid,XSE Hybrid
"Convenience Package- -includes Smart Key System,","Convenience Package- -includes Smart Key System,",,,,,,,,,,,,,
"HomeLinke32 universal transceiver,auto-dimming rearview mirror","HomeLinke32 universal transceiver,auto-dimming rearview mirror",p,,,p,p,,,,,,,,
"Convenience Package (Hybrid)-includes HomeLink@32 universal transceiver,auto-dimming rearview mirror","Convenience Package (Hybrid)-includes HomeLink@32 universal transceiver,auto-dimming rearview mirror",,,,,,,,,P,P,P,,
Audio Upgrade Package Audio Plus with 9-in. touchscreen,Audio Upgrade Package Audio Plus with 9-in. touchscreen,,,,,,,,,,,,,
Qi-compatible wireless smartphone charging33,Qi-compatible wireless smartphone charging33,p P,,,P P,,,,,P P,P P,,,
Rear-seat vents,Rear-seat vents,p,,,P,,,,,,,,,
"Navigation Upgrade Package14-includes Premium Audio with Dynamic Navigation,4 9-in. touchscreen and nine JBL@21 speakers","Navigation Upgrade Package14-includes Premium Audio with Dynamic Navigation,4 9-in. touchscreen and nine JBL@21 speakers",,0,0,,,0,0,,,,,0,0
TRD Premium Audio with nine JBL@21 speakers,TRD Premium Audio with nine JBL@21 speakers,,,,,,,,o,,,,,
Driver Assist Package 10-in.color Head-Up Display (HUD),Driver Assist Package 10-in.color Head-Up Display (HUD),,P,,,,,,,,,,,
Panoramic View Monitor36,Panoramic View Monitor36,,p,p,,,P p,p,,,,,P P,P
Front and Rear Parking Asist with Automatic Braking (PA w/AB)37,Front and Rear Parking Asist with Automatic Braking (PA w/AB)37,,P,P,,,P,P,,,,,P,P P
Multi-stage ventilated front seats,Multi-stage ventilated front seats,,p,p,,,p,P,,,,,P,P
Cold Weather Package,Cold Weather Package,,,,,,,,,,,,,
Heated steering wheel,Heated steering wheel,P,P,P,P,,P,P,,P,P,,P,P
Heated front seats,Heated front seats,p,s,S,p,,s,s,,P,P,,s,s
