Exterior,LE,XLE,XLEV6,SE,SE Nightshade,XSE,XSEV6,TRD,LE Hybrid,SE Hybrid,SE Hybrid Nightshade,XLE Hybrid,,XSE Hybrid
LED headlights with LED accentlights and auto on/offfeature,,,,,,,,,,,,,s,
"LED headlights with LED accents lights,black trim and",,s,s,,,,,,,,,,,
auto on/off feature Bi-LED combination headlights with auto on/offeature,S,,,,,S,S,,s,,,,,S
Bi-LED combination headlights with black trim and,,,,,,,,,,,,,,
auto on/off feature LED Daytime Running Lights (DRL) with on/offeature,s,S,S,S s,S s,s,s,S s,s,S S,,S s,s,s
LED combination taillights with black trim,S,,,S,S,,,S,S,S,,S,,
LED taillights with black trim,,S,S,,,S,s,,,,,,S,s
"LED headlights with LEDaccent lights,auto levelcontrol and auto on/offeature",,,,,,,,,,,,,,
Dark gray front grille,S,,,,,,,,s,,,,0,
Black front grille with sport mesh lower insert,,,,S,S,,,,,,S,,,
Dark gray front grille with chrome accents,,s,s,,,,,,,,,S,,
Gloss-black front grille with sport mesh lower insert,,,,,,S,S,S,,,,,s,
Color-keyed sportside rocker panels,,,,s,s,S,s,s,,S,,,,S
Two-tone exterior color (color-keyed body with blackroof),,,,,,0,0,0,,,,s,,S 0
Color-keyed power outside mirrors,S,,,,,,,,S,,,,,
Color-keyed heated power outside mirrors with turn signal indicators,,,,S,,,,,,,S,,,
Black heated power outside mirors with turn signal indicators,,,,,S,,,,,,,S,,
Color-keyed heated power outside mirrors with turn Signalandblindspotwarningindicators34,P,S,,P,,S,S,,,,P,P,S,S
Black heated poweroutside mirrors with turn signal andblindspotwarningindicators4,,,,,,,,,,,,,,
Black window trim,,,,,P S,P P,P P,s S,,,,P,,P
Color-keyed outside door handles,s,,,s,s,,,,,,,S,,P
Color-keyed outside door handles with touch-sensor lock/unlock feature,,,,,,,,,,,,,,
Power tilt/slide moonroof,P,S,S,P,P,S,S,S,S,S,,S,S,S
,。,,,。,,,,,o,,o,,o,o
Panoramic glass roof with front power tilt/slide moonroof,S,0,,,,0,S,,,,,,,
19-in. x 8.5-in. TRD matte-black alloy wheels 19-in. gloss-black alloy wheels,,,,,,,,S,,,,,,
19-in. TRD matte bronze-finished alloy wheels,,,,,,S,S,,,,,,,S
18-in.dark gray machined-finish alloy wheels,S,S,,,s,,,,,,,s,,
18-in. black machined-finish alloy wheels,,,,s,,,,,,,,,,
