Interior (continued),LE,XLE,XLE V6,SE,SE Nightshade,XSE,XSEV6,TRD,LE Hybrid,SE SE Hybrid Hybrid Nightshade,XLE Hybrid,XSE Hybrid,
Overhead console with maplights and sunglasses storage,s,,,s,s,,,s,s,s,s,,
"Overhead console with maplights,sunglasses storage and HomeLink@32 universal transceiver",P,S,,P,P,S,,,,P,P,,S
Overhead console with maplights and HomeLink@32 universal transceiver,P,P,s,P,,p,s,,P,P,,P,P
"Covered center console,armrest and storage",S,S,S,S,,S,S,,,S,S,,S
LED-illuminated glove compartment,s,S,s,s,S,s,s,,,S,S,,s
One 12Vauxiliary poweroutlet45,S,S,S,S,S,S,S,S,S,,S,S,S
One USB and media port29 (1.5A),s,s,S,s,S,S,S,S,S,,S,S,S
One USB-C charge port29,S,S,S,S,S,S,S,S,S,,S,,S
Dual sun visors with sliding extensions,S,s,s,S,S,s,s,,,S,S,,S
Dual sun visors with sliding extensions and,,,,,,,,,,,,,
illuminated vanity mirrors LED rear-seat reading lights,0 p,,s,0 p,,,s,,0,0,,,P
Ambientlighting,,s S,S,,,s S,S,,,P,,S,S
Two front cup holders;two front door and two rear bottle holders,,,,,,,,s,,,,,
Two front and two rear cup holders;two front door and,,,,,,,,,,,,,
two rear bottle holders Electric Parking Brake (EPB)46 with Brake Hold47 function,S o,S s,S s,S 0,S 0,S s,S s,,,S s,S s,S s,S s
"Audio Multimedia Audio-7-in. touchscreen,six speakers, Android",,,,,,,,,,,,,
AutoT3&AppleCrPaye2ompatible1 with 3-month Platinum Plan trial subscription20 See toyota.com/audio-multimedia for details. (Dependent on 4G network.),s,,,,,,,,,,,,
"Audio Plus-9.0-in.touchscreen,six speakers,Android AutoTM3&AppleCarPlaye@²compatible,SiriusXM@19 with 3-month Platinum Plan trial subscription20 See toyota.com/audio-multimedia for details. (Dependent on 4G network.)",,,,,,,,,,,,,
"Audio Plus with JBL@21_9.0-in.touchscreen,nine JBL@21 speakers including subwoofer and amplifier, Android AutoTM3&AppleCarPlay@²ompatible,SiriusX@19 with 3-month Platinum Plan trial subscription20",0,S,,0,,S,,,,o,,S,S
"See toyota.com/audio-multimediafor details. (Dependent on 4G network.) JBL@21 Premium Audio - 9.0-in. touchscreen with Dynamic Navigation14 nine JBL@21 speakers including subwooferand amplifier, Android AutoTM3 & Apple",,,s,,,,s,,,,,,
"CarPlay@² compatible,SiriusXM@19 with 3-month Platinum Plan trial subscription 20 See toyota.com/audio-multimedia for details. (Dependent on 4G network.)",,,,,,,,,,,,,
Connected Services,,0,0,,,0,0,,,,,,0
"Safety Connect with 1-year trial subscription9 - includes Emergency Assistance Button, Enhanced",,,,,,,,,,,,,
"Roadside Assistance,10 Automatic Collision Notification, and Stolen Vehicle Locator.11Subscription required.9 4G network dependent.",,,,,,,,,,,,,
Service Connect with up to 10-year trial subscription12_,s,s,s,s,s,s,s,,,s,s,,s
receive personalized maintenance updates and vehicle health reports.Subscription required after trial.12,,,,,,,,,,,,,
4G network dependent. Remote Connect with 1-year trial subscription-,P,S,S,P,,S,S,,,P,,,S
remotely interact with your vehicle through the Toyota,,,,,,,,,,,,,
"app5 via your smartwatch,allowing you to lock/unlock doors,start and stop the vehicle, locate your last parked",,,,,,,,,,,,,
"location,check vehicle status and monitor guest drivers.",,,,,,,,,,,,,
Subscription required after trial.8 4G network dependent. Wi-Fi Connect with 30-dayorup to3GB trial subscription13_ includes AT&TWi-Fi hotspot.Subscription required after trial.13,,,,,,,,,,,,,
