Interior,LE,,XLE,XLE V6,SE,SE Nightshade,XSE,XSEV6,,TRD,LE Hybrid,,SE,SE Hybrid Nightshade,XLE Hybrid,
Single-zone automatic climate control with air filter,,,,,,,,,s,,,Hybrid,,,,Hybrid
Dualzone automatic climate control with air filter,,S,,,S,S,,,,,,,,,,
Dual zone automatic climate control with air filter and,,,S s,,p,s,S,,,,,,,,,
"rear-seat vents Dual zone automatic climate control with airfilter, electric compressor and humidity sensor",,p,,,,,,,S,,S,S,,,,
"Dualzoneautomaticclimatecontrolwithairfilterelectric compressor, humidity sensor and rear-seat vents Qi-compatible wireless smartphone charging3 with",,,,,,,,,,,,,,s,,
"charge indicator light 4.2-in.TFT Multi-Information Display (MID) with odometer, outside temperature,fuel economy and trip information, current/averagefueleconomy,distance toempty,average speed,trip distance with timer and warning messages 4.2-in.TFT Multi-Information Display (MID) with odometer,",,P,S,S,P,S,S,,,P P,,,,S,,
"outside temperature, fuel economy and trip information, current/averagefueleconomy,distance toemptyverage speed,tripistancewithtier,Mandwaringsges 4.2-in.TFT Multi-Information Display (MID) with TRD start-up animation,odometer,outside temperature,fueleconomy and trip information,current/average fuel economy, distancetoemptyaveragespeed,tripdistancewithi TPMS31 and warning messages",,s,,S,S,,,,,,,,,,,
"TRD instrumentation with red-illuminated accents 4.2-in.TFTMulti-Information Display (MID) with odometer,",,,,,,,,,S,,,,,,,
"outsidetemperature,fueleconomyandtripinformation, current/average fuel economy,distance toempty,average speed,tripdistancewithtimer,hbridsyteminormation,",,,,,,,,,,,,,,,,
"energy monitor and warning messages 4.2-in.TFT Multi-lnformation Display (MID) with odometer, outside temperature, fuel economy and trip information,",,,,,,,,,,,,,,,,
"current/average fuel economy,distance to empty,average speed, trip distance with timer, hybrid system information, energy monitor,TPMS31 and warning messages",,,,,,,,,,,,,,,,
"7-in.TFT Multi-Information Display(MID)with customizable settings,odometer,outside temperature,fueleconomy and trip information,current/average fuel economy,distance",,,,,,,,,,,,S,,,,
"to empty,averagespeed,tripdistance with timer,TPMS31 scheduled maintenance and warning messages 7-in.TFT Multi-Information Display(MID)with customizable settings,odometer,outside temperature,fuel economy",。,,S S,0,0,,S S,,,,,,,,,
"andtrip information,current/averagefueleconomy,distance toemptyaveragespeed,tripdistancewithtimer scheduled maintenance, compass and warning messages 7-in. TFT Multi-Information Display (MID) with customizable",,,,,,,,,,,,,,,,
"setings,odometer,outsidetemperature,fueleconomyandtrip information,current/average fuel economy,distance toempty, average speed,hybrid system information,energy monitor, TPMS,1scheduled maintenanceand warning messages",,,0 0,,,,0 0,,,,,,,,,
"7-in. TFT Multi-Information Display (MID) with customizable settings,odometer,outside temperature,fuel economyand tripinformation,current/average fueleconomy,distanceto",,,,,,,,,,,,,,S,,
"empty,averageseed,ridstemfomtiogy monitor,TPMs31scheduledmaintenance,compassand warning messages",,,,,,,,,,,,,,,,
Tire Pressure Monitor System (TPMS)31 Tire Pressure Monitor System (TPMS)31 with direct pressure readout,S,,,,,,,,S,,,,。,0,,
Fabric-trimmed front seats with passenger-side seatback pocket;8-way power-adjustabledriver'sseat withpower,,S,S,S,S,,S S,S,,S,S,,S,S,,
"lumbar support; 6-way adjustable front passenger seat Sport SofTex@-trimmed38 front seats with fabric inserts,seatback",s,,,,,,,,s,,,,,,,
pockets; 8-way power-adjustable driver's seat with power lumbar support; 6-way adjustable front passenger seat,,,,S,S,,,,,S,,,,,,
"Sport SofTex@-trimmed38 front seats with red seatbelts and stitching,red-stitched TRD headrest logo,seatback pockets;",,,,,,,,,,,S,,,,,
8-way power-adjustable driver's seat with power lumbar,,,,,,,,,,,,,,,,
support; 6-way adjustable front passenger seat,,,,,,,,S,,,,,,,,
Leather-trimmed front seats with seatback pockets; 8-way,,,,,,,,,,,,,,,,
power-adjustable driver's seat with power lumbar support;,,S,S,,,,,,,,,,,,,
8-waypower-adjustable frontpassengerseat,,S,s,,P,S s,S S,,P,P,,,,S S,,
Multi-stage heated front seats Multi-stage heated and ventilated front seats,P,,,,,,,,,,,,,,,
