"(Millions, except per share amounts)",,,
2021,2020,2019,
Numerator:,,,
Basic and diluted:,,,
Net income $,"$ 8,060","$ 3,135","$ 6,759"
Preferred dividends,(71),(79),(81)
Equity-related adjustments (a),(16),-,-
"Net income available to common shareholders,","7,973","3,056","6,678"
Earnings allocated to participating share awards (b),(56),(20),(47)
Net income attributable to common shareholders $,"$ 7,917","$ 3,036","$ 6,631"
Denominator: (b),,,
Basic:,Weighted-average common stock,805,828
Add: Weighted-average stock options (c),1,1,2
Diluted,790,806,830
Basic EPS $,$ 10.04,$ 3.77,
Diluted EPS $,$ 10.02,$ 3.77,
