2021,Number of Accounts (thousands),Account Balances (millions),Average Interest Rate Reduction (% points),Average Payment Term Extensions (# of months)
Troubled Debt Restructurings:,Card Member Loans,112,$ 789,"13,(b)"
Troubled Debt Restructurings:,Card Member Receivables,21,$ 437,"(c),18"
Troubled Debt Restructurings:,Other Loans (d),4,$ 13,"3,16"
Troubled Debt Restructurings:,Total,137,"$ 1,239",","
2020,Number of Accounts (thousands),Account Balances (millions),Average Interest Rate Reduction (% points),Average Payment Term Extensions (# of months)
Troubled Debt Restructurings:,Card Member Loans,272,"$ 2,347","14,(b)"
Troubled Debt Restructurings:,Card Member Receivables,47,"$ 1,202","(c),19"
Troubled Debt Restructurings:,Other Loans (d),9,$ 345,"3,16"
Troubled Debt Restructurings:,Total,328,"$ 3,894",","
2019,Number of Accounts (thousands),Account Balances (millions),Average Interest Rate Reduction (% points),Average Payment Term Extensions (# of months)
Troubled Debt Restructurings:,Card Member Loans,78,$ 602,"13,(b)"
Troubled Debt Restructurings:,Card Member Receivables,9,$ 210,"(c),26"
Troubled Debt Restructurings:,Total,87,$ 812,","
