(Millions),2022,2023,2024,2025,2026,Thereafter Total,Thereafter Total,
American Express Company(Parent Company only),"$ 5,675","$ 5,750",$ 5.000,$ 750,"$ 2,450",$ 2.933,$ 22.558,
American Express Company(Parent Company only),,,,,,,,
American Express CreditCorporation,"2,050",1,,,,,,
American Express CreditCorporation,"2,050",1,一,一,,"339 2,3891 11,816","339 2,3891 11,816",
Lending Trust,"6,381","2,685",2.750,,,"339 2,3891 11,816","339 2,3891 11,816",1
Charge Trust,1,1,2.000,一,,一,2.000,
Other,77,88,136,一,1,10,311,
"$ 14,183","$ 14,183","$ 8,523","$ 9,886","$ 750$ 2,450","$ 750$ 2,450","$ 3,282","$ 39,074",
Unamortized Underwriting FeesUnamortized Discount andPremiumImpacts due to Fair Value HedgeAccountingTotal Long-Term Debt,,,,,,,(52)(584)237,
Unamortized Underwriting FeesUnamortized Discount andPremiumImpacts due to Fair Value HedgeAccountingTotal Long-Term Debt,,,,,,,(52)(584)237,
Unamortized Underwriting FeesUnamortized Discount andPremiumImpacts due to Fair Value HedgeAccountingTotal Long-Term Debt,,,,,,"$ 38,675","$ 38,675",
