"(Millions, except percentages)",CET 1 capital,Tier 1 capital,Total capital,CET 1 capital ratio,Tier 1 capital ratio,Total capital ratio,Tier 1 leverage ratio
"December 31, 2021:",17554,19186,21506,10.5%,11.5%,12.9%,10.5%
American Express Company,13085,13085,15283,11.8%,11.8%,13.7%,10.5%
American Express National Bank,13085,13085,15283,11.8%,11.8%,13.7%,10.5%
"December 31, 2020:",18693,20277,22385,13.5%,14.7%,16.2%,11.0%
American Express Company,14617,14617,16578,16.2%,16.2%,18.3%,10.9%
American Express National Bank,14617,14617,16578,16.2%,16.2%,18.3%,10.9%
Well-capitalized ratios (b),,,,N/A,6.0%,10.0%,N/A
American Express Company,,,,N/A,6.0%,10.0%,N/A
American Express National Bank,,,,6.5%,8.0%,10.0%,5.0%
Minimum capital ratios (c),,,,4.5%,6.0%,8.0%,4.0%
Effective Minimum (d),,,,7.0%,8.5%,10.5%,4.0%
American Express Company,,,,7.0%,8.5%,10.5%,4.0%
American Express National Bank,,,,7.0%,8.5%,10.5%,4.0%
