,Number of Accounts (thousands),Aggregated Outstanding Balances Upon Default
2021 Troubled Debt Restructurings That Subsequently Defaulted:,,(millions) (a)
Card Member Loans,24$,174
Card Member Receivables,,56
Other Loans (b),,9
Total,3 32$,239
,Number of Accounts,Aggregated Outstanding Balances Upon Default
2020 Troubled Debt Restructurings That Subsequently Defaulted:,(thousands),(millions) (a)
Card Member Loans,17,127
Card Member Receivables,,55
Other Loans (b),,6
Total,23$,188
,,Aggregated Outstanding
2019,Number of Accounts (thousands),Balances Upon Default
Troubled Debt Restructurings That Subsequently Defaulted:,,(millions) (a)
Card Member Loans,12,86
Card Member Receivables,4,20
Total,16,106
