(Millions),Other Assets Fair Value,Other Assets Fair Value,Other Liabilities Fair Value,Other Liabilities Fair Value
(Millions),2021,2020,2021 2020,2021 2020
Derivatives designated as hedging instruments:Fair value hedges - Interest rate contracts (a)Net investment hedges - Foreign exchange contracts,,,$ 1,$ 1
Derivatives designated as hedging instruments:Fair value hedges - Interest rate contracts (a)Net investment hedges - Foreign exchange contracts,$ 204,$ 500,$ 1,$ 1
Derivatives designated as hedging instruments:Fair value hedges - Interest rate contracts (a)Net investment hedges - Foreign exchange contracts,219,24,54,474
Total derivatives designated as hedging instrumentsDerivatives not designated as hedging instruments:Foreign exchange contracts,423,524,54,474228
Total derivatives designated as hedging instrumentsDerivatives not designated as hedging instruments:Foreign exchange contracts,167,105,85,474228
"Total derivatives,grossDerivative asset and derivative liability netting (b)Cash collateral netting (c)",590,629,139,702
"Total derivatives,grossDerivative asset and derivative liability netting (b)Cash collateral netting (c)",(93),（98),(93),(98)
"Total derivatives,grossDerivative asset and derivative liability netting (b)Cash collateral netting (c)",(204),(500）,(4),(16)
"Total derivatives,net",$ 293$,31$,42$,588
