(Millions),2022,2023,2024,2025,2026,Thereafter,Total
American Express Company (Parent Company only),"5,675","5,750","5,000",750,"2,450","2,933","22,558"
American Express Credit Corporation,"2,050",,,,,339,"2,389"
Lending Trust,"6,381","2,685","2,750",,,,"11,816"
Charge Trust,,,"2,000",,,,"2,000"
Other,77,88,136,,,,311
,"14,183","8,523","9,886",750,"2,450","3,282","39,074"
Unamortized Underwriting Fees,,,,,,,52
Unamortized Discount and Premium,,,,,,,584
Impacts due to Fair Value Hedge Accounting,,,,,,,237
Total Long-Term Debt,,,,,,,"38,675"
