(Millions),GCSG,GCS GMNS,GCS GMNS,Total
"Balance as of December 31,2019AcquisitionsDispositionsOther (a)","$ 1,026","$ 1,781",$ 508,"$ 3,315"
"Balance as of December 31,2019AcquisitionsDispositionsOther (a)",1,442,52,494
"Balance as of December 31,2019AcquisitionsDispositionsOther (a)",1,1,1,1
"Balance as of December 31,2019AcquisitionsDispositionsOther (a)",32,11,二,43
"Balance as of December 31,2020AcquisitionsDispositionsOther (a)","$ 1,058","$ 2,234",$ 560,"$ 3,852"
"Balance as of December 31,2020AcquisitionsDispositionsOther (a)",1,1,1,1
"Balance as of December 31,2020AcquisitionsDispositionsOther (a)",(3),1,1,(3)
"Balance as of December 31,2020AcquisitionsDispositionsOther (a)",(37),(8),1,(45)
"Balance as of December 31,2021","$ 1,018 $","2,226$",560$,"3,804"
