Metric,Change 2021 vs. 2020,Change 2020 vs. 2019
Years Ended December 31,Change 2020 vs. 2019,Revenues
Non-interest revenues,$11,489
$9,652,$12
242,$1,837
19 %,$(2,590)
(21)%,,
Interest income,1,460
1,586,1
900,(126),(8)
(314),(17)%,
Interest expense,449,619
1,034,(170)
(27),(415),(40)%
Net interest income,1,011
967,866,44
5,101,12%
Total revenues net of interest expense,12,500
10,619,13
108,1,881
18,(2,489)
(19)%,,
Provisions for credit losses(a),(438),1
493,918,(1
931),,
#,575,63%
Total revenues net of interest expense after provisions for credit losses,12,938
9,126,12
190,3,812
42,(3,064)
(25)%,,
Expenses,,
Marketing,,
business development,,
and Card Member rewards and services,6,592
4,991,6
237,1,601
32,(1,246)
(20)%,,
Salaries and employee benefits and other operating expenses,3,418
3,199,3
261,219,7
(62),(2)%,
Total expenses,10,010
8,190,9
498,1,820
22,(1,308)
(14)%,,
Pretax segment income,$2,928
$936,$2,692
$1,992,
#,$(1,756)
(65)%,,
