"Years Ended December31, (Millions,except percentages and per share amounts)",,,,,,Change,Change,Change,Change
"Years Ended December31, (Millions,except percentages and per share amounts)",2021,,2020,2019,,2021vs.2020,,,2020 vs.2019
Total revenues net of interest expense,$42.380,"$36,087",,$43.556,"$ 6,293",,17%$,"(7,469)",(17)%
Provisions for credit losses (a),"(1,419)",,"4,730","3,573",(6.149),,#,"1,157",32
Expenses,"33,110",,"27,061","31,554",6.049,,22,"(4,493)",(14)
Pretax income,"10,689",,"4,296","8,429","6,393",,#,"(4,133)",(49)
Income tax provision,"2,629",,"1,161","1,670",,"1,468",#,（509),(30)
Net income,8.060,,"3,135","6,759",,"4,925",#,(3.624),(54)
Earnings per common share一 diluted (b),$ 10.02,$,3.77 $,7.99,$,6.25,#,$ (4.22),(53)%
Return on average equity (c) Effective tax rate,33.7% 24.6%,,14.2 % 27.0%,29.6% 19.8%,,,,,
