"As of or for the Years Ended December31,",,,,,,,
"(Millions,except percentages and where indicated)",,2021,,,2020,,2019
U.S.,,,$,,,,
Net interest income,$,"5,933",,,"6,222",$,"6,660"
Exclude:,,,158,,,,276
Interest expense not attributable to our Card Member loan portfolio(a) Interest income not attributable to our Card Member loan portfolio(b),,,(110),,288 (189),,(220)
Adjusted net interest income(c),$,"5,981",,,"6,321",$,"6,716"
Average Card Member loans (billions),$,52.0,,,53.0,$,59.4
Net interest income divided by average Card Member loans(c),,,11.4 %,,,,
Net interest yield on average Card Member loans(c),,,11.5%,,11.7 %,,11.2 % 11.3 %
Outside the U.S.,,,,,11.9 %,,
Net interest income,$,,,,,,
Exclude:,,,741,,923,$,"1,024"
Interest expense not attributable to our Card Member loan portfolio(a) Interest income not attributable to our Card Member loan portfolio(b),,108,,,105,,85
,$,,(8）,,(12),,(15)
Adjusted net interest income(c) Average Card Member loans (billions),$,841,,,"1,016",$,"1,094"
Net interest income divided by average Card Member loans(c),,9.0,,,8.6,$,10.0
Net interest yield on average Card Member loans(c),,,8.2% 9.4%,,10.7% 11.9 %,,10.2%
Total,,,,,,,10.9%
Net interest income,$,"6,674",$,,"7,145",$,"7,683"
Exclude:,,,,,,,
Interest expense not attributable to our Card Member loan portfolio(a),,266,,,393,,361
Interest income not attributable to our Card Member loan portfolio(b),,(118),,,(201),,(234)
Adjusted net interest income(c),$$,"6,822",$,,"7,337",$,"7,810"
Average Card Member loans (billions),,61.0,$,,61.6,$,69.4
Net interest income divided by average Card Member loans(c),,,10.9%,,11.6 %,,11.1 %
,,,,,11.9 %,,
Net interest yield on average Card Member loans(c),,11.2 %,,,,,11.3 %
