"Years Ended December 31,(Millions,except percentages)","Years Ended December 31,(Millions,except percentages)",,,,Change,Change,Change,Change,
"Years Ended December 31,(Millions,except percentages)","Years Ended December 31,(Millions,except percentages)",2021,2020,2019,2021vs.2020,2021vs.2020,2020 vs.2019,2020 vs.2019,
Card Member receivablesNet write-offs,Card Member receivablesNet write-offs,,,,,,,,
Card Member receivablesNet write-offs,Card Member receivablesNet write-offs,Net write-offs,$ 129,$ 881,$ 900,$(752),(85)%$,(19),(2)%
Reserve (release) build (a),Reserve (release) build (a),(202),134,63,(336),#,71,#,
Total,Total,(73),1.015,963,"(1,088)",#,52,5,
Card Member loans,Card Member loans,,,,,,,,
Net write-offs,Net write-offs,879,"2,170",2.235,"(1,291)",(59),(65),(3),
Reserve (release) build (a),Reserve (release) build (a),(2.034),"1,283",227,(3.317),#,"1,056",#,
Total,Total,"(1,155)","3,453","2,462","（4,608)",#,991,40,
OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),,,,,,,,
OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),21,111,98,(90),(81),13,13,
OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),33,27,20,6,22,7,35,
OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),(185),66,28,(251),#,38,#,
OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),OtherNet write-offs - Other loans (b)Net write-offs 一 Other receivables (c)Reserve (release) build - Other loans (a)(b)Reserve (release) build 一 Other receivables (a)(c),(60),58,2,(118),#,56,#,
Total,Total,(191),262,148,（453),#,114,77,
Total provisions for credit losses (d),Total provisions for credit losses (d),"$ (1,419)",$ 4.730,$,3.573$(6.149),#,"$1,157",32%,
