,Carrying,Carrying,Corresponding Fair Value Amount,Corresponding Fair Value Amount,Corresponding Fair Value Amount,Corresponding Fair Value Amount,Corresponding Fair Value Amount,
Value,Value,Carrying,Total,Level1,Level 2,Level 3,,
2021 (Billions) Financial Assets:,Carrying,,,,,,,
Financial assets for which carrying values equal or approximate fair value,,,,,,,,
Cash and cash equivalents(a),$,22$,22$,,20$,2$,,
Other financial assets(b),,56,56,,,56,,
"Financial assets carriedat other than fair value Card Member and Other loans,less reserves(c)",,88,91,,,,91,
Financial Liabilities:,,,,,,,,
Financial liabilities for which carrying values equal or approximate fair value,,105,,,,,,
Financial liabilities carried at other than fair value,,,105,,,105,,
Certificates of deposit(d),,5,5,,,5,,
Long-term debt(c),,39$,40$,,,40$,,
2020 (Billions),Carrying Value,,Total,,Level 1,Corresponding Fair Value Amount Level2,Level 3,
Financial Assets:,,,,,,,,
Financial assets for which carrying values equal or approximate fair value,,,,,,,,
Cash and cash equivalents(a),$,33$,33$,,31$,2$,,
Other financial assets(b),,46,46,,,46,,
"Financial assets carried at other than fair value Card Member and Other loans,less reserves(c)",,,,,,,,
,,71,75,,,,75,
Financial Liabilities:,,,,,,,,
Financial liabilities for which carrying values equal or approximate fair value,,101,101,,,101,,
Financial liabilities carried at other than fair value,,,,,,,,
Certificates of deposit(d),,8,8,,,,,
Long-term debt(c),$,43$,45$,,$,8 45$,,
