As of December 31 (Millions),2021,2020
Assets,Cash and cash equivalents,"$ 5,341,$ 10,968,,"
Equity in net assets of subsidiaries and affiliates,"22,623","23,306,,"
Loans to subsidiaries and affiliates,"17,848","15,887,,"
Due from subsidiaries and affiliates,"1,207","1,084,,"
Other assets,158,"164,,"
Total assets,"47,177","51,409,,"
Liabilities and Shareholders' Equity,,
Liabilities,Accounts payable and other liabilities,"2,107,1,743,,"
Due to subsidiaries and affiliates,443,"1,100,,"
Debt with subsidiaries and affiliates,136,"2,772,,"
Long-term debt,"22,314","22,810,,"
Total liabilities,"25,000","28,425,,"
Shareholders' Equity,,
Total shareholders' equity,"22,177","22,984,,"
Total liabilities and shareholders' equity,"47,177","51,409,"
