Years Ended December 31, (Millions, except percentages),2021,2020,2019,Change 2021 vs. 2020,Change 2020 vs. 2019,Change 2021 vs. 2020,Change 2020 vs. 2019
Card Member receivables,Net write-offs,$129,$881,$900,$(752),(85)%,$(1,088),52
Card Member receivables,Reserve (release) build (a),(202),134,63,#,71,#,5,
Card Member receivables,Total,(73),1,015,963,#,52,5,
Card Member loans,Net write-offs,879,2,170,2,235,$(1,291),"(59),$(4,608),991"
Card Member loans,Reserve (release) build (a),(2,034),1,283,227,#,1,"056,#,40"
Card Member loans,Total,$(1,155),3,453,2,462,#,"991,40"
Other,Net write-offs — Other loans (b),21,111,98,$(90),(81),13,13,
Other,Net write-offs — Other receivables (c),33,27,20,6,22,7,35,
Other,Reserve (release) build — Other loans (a)(b),(185),66,28,#,38,#,#,
Other,Reserve (release) build — Other receivables (a)(c),(60),58,2,#,56,#,#,
Other,Total,$(191),262,148,#,114,77,,
Total provisions for credit losses (d),$1,419,$4,730,$3,573,$(6,149),"32 %,1,157,32 %"
