"Years Ended December 31, (Millions,except percentages)",2021 Average Balance (a),2021 Average Balance (a),2020 Average Balance (a),2020 Average Balance (a),2019 Average Balance (a)
Non-interest-earning assets,,,,,
Cash and due from banks,,,,,
U.S.,$,"2,729",$,2.205,2.842
Non-U.S.,,868,,823,732
"Card Member receivables, net",,,,,
U.S.,,30.039,,"27,414","27,724"
Non-U.S.,,"16,632",,"16,009","28,040"
Reserves for credit losses on Card Member and other loans,,,,,
U.S.,,"(3,964)",,(4.682),(2.057)
Non-U.S.,,(369),,(526),(258)
Other assets (b),,,,,
U.S.,,"16,589",,"14,680","12,689"
Non-U.S.,,"5,514",,5.830,"5,593"
Total non-interest-earning assets,,"68,038",,"61,753","75,305"
U.S.,,"45,393",,"39,617","41,198"
Non-U.S.,,"22,645",,"22,136","34,107"
Total assets,"$ 189,593",$,"190,079",$,"194,369"
U.S.,,"153,981",,"155,526","146,908"
Non-U.S.,,"35,612",,"34,553","47,461"
Percentage of total average assets attributable to non-U.S.activities,,18.8%,,,
