(Millions),2021,2020
Deferred tax assets:,,
Reserves not yet deducted for tax purposes,3.637 $,"3,905"
Employee compensation and benefits,359,383
Net operating loss and tax credit carryforwards,398,399
Other,809,765
Gross deferred taxassets,"5,203","5,452"
Valuation allowance,(472),(418)
Deferred tax assets after valuation allowance,"4,731",5.034
Deferred tax liabilities:,,
Intangibles and fixed assets,"1,320","1,433"
Deferred revenue,189,252
Deferred interest,133,148
Investment in joint ventures,183,135
Other,521,366
Gross deferred tax liabilities,"2,346","2,334"
Netdeferred taxassets,"$ 2,385",$ 2.700
