"(Millions, except per share amounts)",Total,Preferred Shares,Common Shares,Additional Paid-in Capital,Accumulated Other Comprehensive Income (Loss),Retained Earnings
"Balances as of December 31, 2018",$,"22,290",$,–,$,"170,$,12,218,$,(2,597),$,12,499"
Net income,"6,759",–,–,–,–,"–,6,759"
Other comprehensive loss,(140),–,–,–,–,"(140),–"
Repurchase of common shares,"(4,585)",–,(8),(671),–,"–,(3,906)"
"Other changes, primarily employee plans",186,–,1,227,–,"–,(42)"
"Cash dividends declared preferred Series B, $52,000.00 per share",(39),–,–,–,–,"–,(39)"
"Cash dividends declared preferred Series C, $49,000.00 per share",(42),–,–,–,–,"–,(42)"
"Cash dividends declared common, $1.64 per share","(1,358)",–,–,–,–,"–,(1,358)"
"Balances as of December 31, 2019","23,071",–,163,"11,774","(2,737)","13,871"
Cumulative effect of change in accounting principle - Reserve for Credit Losses (a),(882),–,–,–,–,"–,(882)"
Net income,"3,135",–,–,–,–,"3,135"
Other comprehensive loss,(158),–,–,–,(158),–
Repurchase of common shares,(875),–,(2),(105),–,"–,(768)"
"Other changes, primarily employee plans",164,–,–,212,–,"–,(48)"
"Cash dividends declared preferred Series B, $45,807.57 per share",(34),–,–,–,–,"–,(34)"
"Cash dividends declared preferred Series C, $52,919.91 per share",(45),–,–,–,–,"–,(45)"
"Cash dividends declared common, $1.72 per share","(1,392)",–,–,–,–,"–,(1,392)"
"Balances as of December 31, 2020","22,984",–,161,"11,881","(2,895)","13,837"
Net income,"8,060",–,–,–,"8,060",
Other comprehensive loss,(50),–,–,(50),–,
Preferred shares issued,"1,584",–,–,"1,584",–,–
Redemption of preferred shares,"(1,600)",–,–,"(1,584)",–,(16)
Repurchase of common shares,"(7,598)",–,(9),(631),–,"(6,958)"
"Other changes, primarily employee plans",227,–,1,245,–,"–,(19)"
"Cash dividends declared preferred Series B, $36,419.41 per share",(27),–,–,–,–,(27)
"Cash dividends declared preferred Series C, $26,317.47 per share",(23),–,–,–,–,(23)
"Cash dividends declared preferred Series D, $13,213.89 per share",(21),–,–,–,–,(21)
"Cash dividends declared common, $1.72 per share","(1,359)",–,–,–,–,"–,(1,359)"
"Balances as of December 31, 2021",$,"22,177",$,–,$,"153,$,11,495,$,(2,945),$,13,474"
