Metric,Change 2021 vs. 2020,Change 2020 vs. 2019
"As of or for the Years Ended December 31,",,
Billed business:(billions),,
U.S.,$444.2,$337.6
Outside the U.S.,148.9,121.1
Total,$593.1,$458.7
Proprietary cards-in-force:,,
U.S.,39.0,37.7
Outside the U.S.,17.0,16.7
Total,56.0,54.4
Proprietary basic cards-in-force:,,
U.S.,27.3,26.6
Outside the U.S.,11.9,11.6
Total,39.2,38.2
Average proprietary basic Card Member spending:(dollars),,
U.S.,"$16,498","$12,641"
Outside the U.S.,"$12,759","$10,175"
Average,"$15,368","$11,881"
Total segment assets (billions),102.1,87.4
Card Member loans:,,
Total loans (billions),,
U.S.,$59.8,$51.4
Outside the U.S.,10.7,8.7
Total,70.5,60.1
Average loans (billions) U.S.,,
Outside the U.S.,$52.0,$53.0
Total,9.0,8.6
U.S.,,
Net write-off rate — principal only (a),0.8 %,2.4 %
"Net write-off rate — principal, interest and fees (a)",1.1 %,2.9 %
30+ days past due as a % of total,0.7 %,1.0 %
Outside the U.S.,,
Net write-off rate — principal only (a),1.7 %,3.0 %
"Net write-off rate — principal, interest and fees (a)",2.2 %,3.7 %
30+ days past due as a % of total,0.8 %,1.7 %
Total,,
Net write-off rate — principal only (a),0.9 %,2.5 %
"Net write-off rate — principal, interest and fees (a)",1.3 %,3.0 %
30+ days past due as a % of total,0.7 %,1.6 %
