Shares in thousands,Stock Options,Stock Options,Service-Based RSUs,Service-Based RSUs,Service and Performance-Based RSUs,Service and Performance-Based RSUs
Shares,Shares,Weighted-Average Exercise Price,Shares,Weighted-Average Grant Price,Shares,Weighted-Average Grant Price
"Outstanding as of December 31, 2020","3,751",$ 83.59,"2,078",$ 109.23,"3,146",$ 103.08
Granted,345,117.52,889,120.91,"1,787",125.02
Exercised/vested,(992),$ 64.96,(842),$ 102.05,(951),$ 98.56
Forfeited,,,(250),$ 113.99,,
Expired,,,,,(241),$ 110.72
"Outstanding as of December 31, 2021","3,104",$ 93.33,"1,875",$ 117.36,"3,741",$ 114.22
"Options vested and expected to vest as of December 31, 2021","3,104",$ 93.33,,$ 114.22,,
"Options exercisable as of December 31, 2021","1,976",$ 79.42,,,,
