As of December 31(Millions),2021,2020
AssetsCash and cash equivalentsEquity in net assets of subsidiaries and affiliatesLoans to subsidiaries and affiliatesDue from subsidiaries and afiliatesOtherassets,,
AssetsCash and cash equivalentsEquity in net assets of subsidiaries and affiliatesLoans to subsidiaries and affiliatesDue from subsidiaries and afiliatesOtherassets,"$ 5,341","$ 10,968"
AssetsCash and cash equivalentsEquity in net assets of subsidiaries and affiliatesLoans to subsidiaries and affiliatesDue from subsidiaries and afiliatesOtherassets,"22,623","23,306"
AssetsCash and cash equivalentsEquity in net assets of subsidiaries and affiliatesLoans to subsidiaries and affiliatesDue from subsidiaries and afiliatesOtherassets,"17,848","15,887"
AssetsCash and cash equivalentsEquity in net assets of subsidiaries and affiliatesLoans to subsidiaries and affiliatesDue from subsidiaries and afiliatesOtherassets,"1,207","1,084"
AssetsCash and cash equivalentsEquity in net assets of subsidiaries and affiliatesLoans to subsidiaries and affiliatesDue from subsidiaries and afiliatesOtherassets,158,164
Total assets,"47,177","51,409"
Liabilitiesand Shareholders'EquityLiabilitiesAccounts payable and other liabilitiesDue to subsidiaries and affiliatesDebt with subsidiaries and affiliatesLong-term debt,,
Liabilitiesand Shareholders'EquityLiabilitiesAccounts payable and other liabilitiesDue to subsidiaries and affiliatesDebt with subsidiaries and affiliatesLong-term debt,"2,107","1,743"
Liabilitiesand Shareholders'EquityLiabilitiesAccounts payable and other liabilitiesDue to subsidiaries and affiliatesDebt with subsidiaries and affiliatesLong-term debt,443,"1,100"
Liabilitiesand Shareholders'EquityLiabilitiesAccounts payable and other liabilitiesDue to subsidiaries and affiliatesDebt with subsidiaries and affiliatesLong-term debt,136,2.772
Liabilitiesand Shareholders'EquityLiabilitiesAccounts payable and other liabilitiesDue to subsidiaries and affiliatesDebt with subsidiaries and affiliatesLong-term debt,"22,314",22.810
Total liabilitiesShareholders'EquityTotal shareholders'equity,25.000,"28,425"
Total liabilitiesShareholders'EquityTotal shareholders'equity,"22,177",22.984
Total liabilities and shareholders'equity,"$ 47,177","$ 51,409"
