"(Millions,except per shareamounts)",2021,2020,2019
Numerator:Basic and diluted:Net incomePreferred dividendsEquity-related adjustments (a),,,
Numerator:Basic and diluted:Net incomePreferred dividendsEquity-related adjustments (a),"$ 8,060","$ 3,135","$ 6,759"
Numerator:Basic and diluted:Net incomePreferred dividendsEquity-related adjustments (a),(71),(79),(81)
Numerator:Basic and diluted:Net incomePreferred dividendsEquity-related adjustments (a),(16),二,二
Net income available to common shareholdersEarnings allocated to participating share awards (b),"7,973","3,056","6,678"
Net income available to common shareholdersEarnings allocated to participating share awards (b),(56),(20),(47)
Net income attributable to common shareholders,"$ 7,917","$ 3,036","$ 6,631"
Denominator:(b)Basic: Weighted-average common stockAdd: Weighted-average stock options (c),,,
Denominator:(b)Basic: Weighted-average common stockAdd: Weighted-average stock options (c),789,805,828
Denominator:(b)Basic: Weighted-average common stockAdd: Weighted-average stock options (c),1,1,2
Diluted,790,806,830
Basic EPSDiluted EPS,$ 10.04,$ 3.77,$ 8.00
Basic EPSDiluted EPS,$ 10.02$,3.77,$ 7.99
