Year Ended December 31 (Millions, except per share amounts),2021,2020,2019
Revenues,Discount revenue,"25,727","20,401","26,167"
Revenues,Net card fees,"5,195","4,664","4,042"
Revenues,Other fees and commissions,"2,392","2,163","3,297"
Revenues,Other,"1,316",874,"1,430"
Revenues,Total non-interest revenues,"34,630","28,102","34,936"
Interest income,Interest on loans,"8,850","9,779","11,308"
Interest income,Interest and dividends on investment securities,83,127,188
Interest income,Deposits with banks and other,100,177,588
Interest income,Total interest income,"9,033","10,083","12,084"
Interest expense,Deposits,458,943,"1,559"
Interest expense,Long-term debt and other,825,"1,155","1,905"
Interest expense,Total interest expense,"1,283","2,098","3,464"
Interest expense,Net interest income,"7,750","7,985","8,620"
Interest expense,Total revenues net of interest expense,"42,380","36,087","43,556"
Provisions for credit losses,Card Member receivables,(73),"1,015",963
Provisions for credit losses,Card Member loans,"(1,155)","3,453","2,462"
Provisions for credit losses,Other,(191),262,148
Provisions for credit losses,Total provisions for credit losses,"(1,419)","4,730","3,573"
Provisions for credit losses,Total revenues net of interest expense after provisions for credit losses,"43,799","31,357","39,983"
Expenses,Marketing and business development,"9,053","6,747","7,125"
Expenses,Card Member rewards,"11,007","8,041","10,439"
Expenses,Card Member services,"1,993","1,230","2,223"
Expenses,Salaries and employee benefits,"6,240","5,718","5,911"
Expenses,"Other, net","4,817","5,325","5,856"
Expenses,Total expenses,"33,110","27,061","31,554"
Expenses,Pretax income,"10,689","4,296","8,429"
Expenses,Income tax provision,"2,629","1,161","1,670"
Expenses,Net income,"8,060","3,135","6,759"
Earnings per Common Share — (Note 21),Basic,10.04,3.77,8.00
Earnings per Common Share — (Note 21),Diluted,10.02,3.77,7.99
Earnings per Common Share — (Note 21),Average common shares outstanding for earnings per common share:,789,805,828
Earnings per Common Share — (Note 21),Average common shares outstanding for earnings per common share:,790,806,830
