"(Millions,except percentages and where indicated)",,,,,,,,Change Change
"(Millions,except percentages and where indicated)",,2021,,2020,,2019 2021vs.2020,2020 vs.2019,Change Change
Card Member receivables: (billions),,,,,,,,
U.S.,$,14.7,$,11.9,$,14.2,24%,(16)%
Outside the U.S.,,7.7,,6.8,,8.6,13,(21)
Total,$,22.4,二$,18.7,$,22.8,20%,(18)%
U.S.,,,,,,,,
Net write-off rate一 principal only (a),,1%,,1.3 %,,1.4 %,,
Net write-offrate- principal and fees (a),,0.1%,,1.4 %,,1.6%,,
30+ days past due as a % of total,,0.4%,,0.4%,,1.2 %,,
Outside the U.S.,,,,,,,,
Net write-off rate一principal only (a),,0.8%,,2.5%,,2.2%,,
Net write-off rate - principal and fees (a),,0.9%,,2.7%,,2.4%,,
30+ days past due as a % of total,,0.7%,,1.0 %,,1.3 %,,
Total,,,,,,,,
Net write-off rate-principalonly (a),,0.3%,,1.7 %,,1.7 %,,
Net write-offrate- principal and fees (a),,0.4%,,1.9%,,1.9 %,,
30+ days past due as a % of total,,0.5%,,0.6%,,1.2 %,,
