"(Millions, except percentages)",(2021 Original Contractual Maturity Dates),(2021 Outstanding Balance),(2021 Year-End Interest Rate on Debt),(2021 Year-End Interest Rate with Swaps),(2020 Outstanding Balance),(2020 Year-End Interest Rate on Debt),(2020 Year-End Interest Rate with Swaps)
American Express Company (Parent Company only),Fixed Rate Senior Notes,"$ 18,324",3.02%,2.03%,"$ 18,251",3.25%,2.09%
,Floating Rate Senior Notes,"3,300",0.69,-,"4,000",0.84,-
,Fixed Rate Subordinated Notes,599,3.63,1.38,599,3.63,1.43
American Express Credit Corporation,Fixed Rate Senior Notes,"2,078",2.80,1.32,"$ 6,746",2.38%,1.67%
,Floating Rate Senior Notes,300,0.87,-,300,0.93,-
Lending Trust,Fixed Rate Senior Notes,"$ 8,199",2.01%,-,"$ 8,325",2.74%,2.55%
,Floating Rate Senior Notes,"3,325",0.49%,-,"4,125",0.51%,-
,Fixed Rate Subordinated Notes,212,2.72%,-,246,2.80%,-
,Floating Rate Subordinated Notes,79,0.68%,-,79,0.73%,-
Charge Trust,Floating Rate Conduit Borrowings,"2,000",0.40%,-,-,-,-
Other,Finance Leases,"1,450",5.49%,-,"1,700",5.54%,-
,Floating Rate Borrowings,297,0.42%,-,328,0.42%,-
,Unamortized Underwriting Fees,(52),-,-,(64),-,-
,Total Long-Term Debt,"$ 38,675",2.22%,-,"$ 42,952",2.49%,-
