"Years Ended December 31,","Years Ended December 31,","Years Ended December 31,",,,,Change,Change,Change,Change,Change,
"Years Ended December 31,","Years Ended December 31,","Years Ended December 31,",2021,2020,2019,2021vs.2020,2021vs.2020,2021vs.2020,2020 vs.2019,2020 vs.2019,
Network volumes: (billions),Network volumes: (billions),Network volumes: (billions),,,,,,,,,
U.S.,U.S.,U.S.,$ 897.0,$ 708.1,$ 840.7,27%,27%,27%,(16)%,(16)%,
Outside the U.S.,Outside the U.S.,Outside the U.S.,387.2,329.7,425.0,17,17,17,(22),(22),
Total,Total,Total,"$ 1,284.2","$ 1,037.8","$ 1,265.7",24,24,24,(18),(18),
Billed business,Billed business,Billed business,"$ 1,089.8",$ 870.7,"$ 1,070.5",25,25,25,(19),(19),
Processed volumes,Processed volumes,Processed volumes,194.4,167.1,195.2,16,16,16,(14),(14),
Total,Total,Total,"$ 1,284.2","$ 1,037.8","$ 1,265.7",24,24,24,(18),(18),
Cards-in-force: (millions),Cards-in-force: (millions),Cards-in-force: (millions),,,,,,,,,
,U.S.,U.S.,56.4,53.8,54.7,5,5,5,(2),(2),
,Outside the U.S.,Outside the U.S.,65.3,58.2,59.7,12,12,12,(3),(3),
Total,Total,Total,121.7,112.0,114.4,9 (2),9 (2),9 (2),9 (2),9 (2),
Proprietary,Proprietary,Proprietary,71.4,68.9,70.3,4 (2),4 (2),4 (2),4 (2),4 (2),
GNS,GNS,GNS,50.3,43.1,44.1,17 (2),17 (2),17 (2),17 (2),17 (2),
,Total,Total,121.7,112.0,114.4,9 (2),9 (2),9 (2),9 (2),9 (2),
,Basic cards-in-force: (millions),Basic cards-in-force: (millions),,,,,,,,,
,U.S.,U.S.,44.3,42.2,43.0,5,5,5,5,(2),
Outside the U.S.,Outside the U.S.,Outside the U.S.,56.4,49.1,50.0,15,15,15,15,(2),
Total,Total,Total,100.7,91.3,93.0,10,10,10,10,(2),
Average proprietary basic Card Member spending:(dollars),Average proprietary basic Card Member spending:(dollars),Average proprietary basic Card Member spending:(dollars),,,,,,,,,
Average proprietary basic Card Member spending:(dollars),Average proprietary basic Card Member spending:(dollars),Average proprietary basic Card Member spending:(dollars),,,,,,,,,
U.S.,U.S.,U.S.,"$ 22,477",$ 18.085,"$ 21,515",,24,,,(16),
Outside the U.S.Worldwide Average,Outside the U.S.Worldwide Average,Outside the U.S.Worldwide Average,"$ 15,251","$ 12,264","$ 16,351",24,24,24,24,(25),
Outside the U.S.Worldwide Average,Outside the U.S.Worldwide Average,Outside the U.S.Worldwide Average,"$ 20,392","$ 16,352","$ 19,972",,25,25,25,(18),
Average discount rateAverage fee per card (dollars)(a),Average discount rateAverage fee per card (dollars)(a),Average discount rateAverage fee per card (dollars)(a),2.30%,2.28%,2.37%,,,,,,
Average discount rateAverage fee per card (dollars)(a),Average discount rateAverage fee per card (dollars)(a),Average discount rateAverage fee per card (dollars)(a),$ 74,$ 67,$ 58,10% 16 %,10% 16 %,10% 16 %,10% 16 %,10% 16 %,
