Credit Agency,American Express Entity,Short-Term Ratings,Long-Term Ratings,Outlook
Fitch,American Express Credit Corporation,N/A,A,Stable
Fitch,All other rated entities,F1,A,Stable
Moody's,American Express Travel Related Services Company, Inc.,Prime-1,"A2,Stable"
Moody's,American Express Credit Corporation,N/A,A2,Stable
Moody's,American Express National Bank,Prime-1,A3,Stable
Moody's,American Express Company,N/A,A2,Stable
S&P,American Express Travel Related Services Company, Inc.,A-2,"A-,Stable"
S&P,American Express Credit Corporation,N/A,A-,Stable
S&P,American Express National Bank,A-2,A-,Stable
S&P,American Express Company,A-2,BBB+,Stable
