2021,(Millions),Current,30-59,60-89,90+ Days Past Due,Total
Card Member Loans:,Global Consumer Services Group,$69,960,$158,$112,"$237,$70,467"
Card Member Loans:,Global Commercial Services,Global Small Business Services,$17,950,34,"19,37,18,040"
Card Member Loans:,Global Corporate Payments (a),(b),(b),(b),55,
Card Member Receivables:,Global Consumer Services Group,$22,279,41,24,"48,22,392"
Card Member Receivables:,Global Commercial Services,Global Small Business Services,$17,846,59,"28,44,17,977"
Card Member Receivables:,Global Corporate Payments (a),(b),(b),(b),13,276
2020,(Millions),Current,30-59,60-89,90+ Days Past Due,Total
Card Member Loans:,Global Consumer Services Group,$59,442,$177,$148,"$317,$60,084"
Card Member Loans:,Global Commercial Services,Global Small Business Services,$13,132,27,"20,47,13,226"
Card Member Loans:,Global Corporate Payments (a),(b),(b),(b),63,
Card Member Receivables:,Global Consumer Services Group,$18,570,33,26,"56,18,685"
Card Member Receivables:,Global Commercial Services,Global Small Business Services,$14,023,37,"21,38,14,119"
Card Member Receivables:,Global Corporate Payments (a),(b),(b),(b),10,897
