"Years Ended December 31,",,,,,,Change,Change
"(Millions,except percentages)",2021,2020,2019,2021vs.2020,,2020 vs.2019,
Discount revenue,"25,727",20.401,"$ 26,167","$ 5,326",26%,$ (5.766),(22)%
Net card fees (a),"5,195",4.664,4.042,531,11,622,15
Other fees and commissions,2.392,2.163,"3,297",229,11,"(1,134)",(34)
Other,"1,316",874,"1,430",442,51,(556),(39)
Total non-interest revenues,"34,630",28.102,"34,936","6,528",23,(6.834),(20）
Total interest income,"9,033",10.083,12.084,"(1,050)",(10),(2.001),(17)
Total interest expense,"1,283",2.098,"3,464",(815),(39),(1.366),(39)
Net interest income,7.750,7.985,8.620,(235),(3),(635）,(7
Total revenues net of interest expense,"42,380",$ 36.087,$,43.556$6.293,,"17%$ (7,469)",(17)%
