Metric,Change 2021 vs. 2020,Change 2020 vs. 2019
"As of or for the Years Ended December 31,",,
Billed business (billions),$490.9,$406.5
Proprietary cards-in-force,15.4,14.5
Average Card Member spending (dollars),"""$33,055""","""$34,905"""
Total segment assets (billions),$52.9,$42.1
GSBS Card Member loans: Total loans (billions),$18.0,$13.2
Average loans (billions),$15.0,$12.9
Net write-off rate — principal only (a),,0.6 %
"Net write-off rate — principal, interest and fees (a)",,0.8 %
30+ days past due as a % of total,0.5 %,0.7 %
Calculation of Net Interest Yield on Average Card Member Loans: Net interest income,"$1,011",$967
Adjusted net interest income (d),"""$1,287""","""$1,416"""
Average Card Member loans (billions),$15.0,$13.0
Net interest income divided by average Card Member loans (d),6.7 %,7.4 %
Net interest yield on average Card Member loans (d),8.6 %,9.8 %
Card Member receivables: Total receivables (billions),$31.3,$25.0
Net write-off rate — principal and fees (e)(f),0.2 %,2.1 %
GCP Card Member receivables: Total receivables (billions),$13.3,$10.9
90+ days past billing as a % of total (e),0.3 %,0.6 %
Net write-off rate — principal and fees (e)(f),-,1.9 %
GSBS Card Member receivables: Total receivables (billions),$18.0,$14.1
Net write-off rate — principal only (a),0.3 %,2.1 %
Net write-off rate — principal and fees (a),0.4 %,2.3 %
30+ days past due as a % of total,0.7 %,0.7 %
