Metric,Change 2021 vs. 2020,Change 2020 vs. 2019
"As of or for the Years Ended December 31,",,
Card Member loans: (billions),,
U.S.,$76.9,$64.2
$76.0,20%,-16%
Outside the U.S.,11.7,9.2
11.4,27%,-19%
Total,88.6,73.4
87.4,21%,-16%
Credit loss reserves:,,
Beginning balance (a),"$5,344","$4,027"
"$2,134",33%,89%
"Provisions — principal, interest and fees","$-1,155","$3,453"
"$2,462",#,40%
Net write-offs — principal less recoveries,$-672,"$-1,795"
"$-1,860",(63%),-3%
Net write-offs — interest and fees less recoveries,$-207,$-375
$-375,(45%),
Other (b),$-5,$34
$22,#,55%
Ending balance,"$3,305","$5,344"
"$2,383",-38%,
# % of loans,,
7.3%,2.7%,
# % of past due,,
727%,177%,
Average loans (billions),$76.1,$74.6
$82.8,2%,-10%
Net write-off rate — principal only (c),0.9%,2.4%
2.2%,,
"# Net write-off rate — principal, interest and fees (c)",,
1.2%,2.9%,2.7%
#,,
30+ days past due as a % of total,0.7%,1.0%
1.5%,,
Worldwide Card Member receivables,,
Card Member receivables: (billions),,
U.S.,$38.4,$30.5
$39.0,26%,-22%
Outside the U.S.,$15.2,$13.2
$18.4,15%,-28%
Total,$53.6,$43.7
$57.4,23%,-24%
Credit loss reserves:,,
Beginning balance (a),$267,$126
$,573,(78)%
Provisions — principal and fees,$-73,"$1,015"
$,963,5%
Net write-offs — principal and fees less recoveries (d),$-129,$-881
$,-900,(85%)
Other (b),$-1,$7
$,-17,#
Ending balance,$64,$267
$,619,(76)%
# % of receivables,,
0.6%,1.1%,
Net write-off rate — principal and fees (c)(d)(e),0.3%,2.0%
1.6%,,
