Description of Securities (Millions),2021,2021,2021,2021,2020,2020,2020,2020,
Description of Securities (Millions),,Gross,Gross,Estimated,,Gross,Gross,Estimated,
Description of Securities (Millions),Cost,UnrealizedGains,UnrealizedLosses,FairValue,,Unrealized,Unrealized,,
Description of Securities (Millions),Cost,UnrealizedGains,UnrealizedLosses,FairValue,Cost,Gains,Losses,,
Description of Securities (Millions),Cost,UnrealizedGains,UnrealizedLosses,FairValue,Cost,Gains,Losses,FairValue,
Available-for-sale debt securities:State and municipal obligationsU.S.Government agency obligationsU.S.Government treasury obligationsMortgage-backed securities (a)Foreign government bonds and obligations,,,,,,,,,
Available-for-sale debt securities:State and municipal obligationsU.S.Government agency obligationsU.S.Government treasury obligationsMortgage-backed securities (a)Foreign government bonds and obligations,$ 106,$ 5,$ 1,$ 111,$ 172,$ 7,$,$ 179,
Available-for-sale debt securities:State and municipal obligationsU.S.Government agency obligationsU.S.Government treasury obligationsMortgage-backed securities (a)Foreign government bonds and obligations,6,1,1,6,7,1,,7,
Available-for-sale debt securities:State and municipal obligationsU.S.Government agency obligationsU.S.Government treasury obligationsMortgage-backed securities (a)Foreign government bonds and obligations,"1,680",25,(1),"1,704","20,655",76,,"20,731",
Available-for-sale debt securities:State and municipal obligationsU.S.Government agency obligationsU.S.Government treasury obligationsMortgage-backed securities (a)Foreign government bonds and obligations,17,1,1,18,28,2,1,30,
Available-for-sale debt securities:State and municipal obligationsU.S.Government agency obligationsU.S.Government treasury obligationsMortgage-backed securities (a)Foreign government bonds and obligations,630,1,1,630,581,1,1,581,
Other (b)Equity securities (c),43,1,1,43,22,1,1,22,
Other (b)Equity securities (c),Equity securities (c),66,17,(4),79,56,27,(2),81
Total,$2.548,$ 48$,(5）$,2.591,"$21,521",$ 112,$ (2）,"$21,631",
