,,,,,,90+ Days Past,90+ Days Past,90+ Days Past,90+ Days Past,90+ Days Past
2021 (Millions),,Current,Days Past Due,30-59,60-89 Days Past Due,,,Due,,Total
Card Member Loans:,,,,,,,,,,
Global Consumer Services Group,$,69.960,$,158,,112,,237,$,"70,467"
Global Commercial Services,,,,,,,,,,
Global Small Business Services,,"17,950",,34,,19,,37,,"18,040"
Global Corporate Payments (a) Card Member Receivables:,,(b),,(b),,(b),,1,,55
Global Consumer Services Group,,"22,279",,,,,,,,
Global Commercial Services,,,,41,,24,,48,,"22,392"
Global Small Business Services,$,"17,846",$,,,,,,,
,,,,59,$,28,,44,$,"17,977"
Global Corporate Payments (a),,(b),,(b),,(b),,42,$,"13,276"
,,,,,,,,90+,,
2020 (Millions),,Current,,30-59,60-89,,Days Past,,,
Card Member Loans:,,,,Days Past Due,Days Past Due,,,Due,,Total
Global Consumer Services Group,$,"59,442",$,,,,,,,
Global Commercial Services,,,,177,$,148,,317,$,"60,084"
,,"13,132",,,,,,,,
Global Small Business Services,,,,27,,20,,47,,"13,226"
Global Corporate Payments (a),,(b),,(b),,(b),,1,,63
Card Member Receivables:,,,,,,,,,,
Global Consumer Services Group,,"18,570",,33,,26,,56,,"18,685"
Global Commercial Services,$,,,,,,,,,
Global Small Business Services,,"14,023",$,37,$,21,,38,$,"14,119"
Global Corporate Payments (a),,(b),,(b),,(b),,60,$,"10,897"
