Description of Securities (Millions),Cost,Gross Unrealized Gains,Gross Unrealized Losses,Estimated Fair Value,Cost,Gross Unrealized Gains,Gross Unrealized Losses,Estimated Fair Value
Available-for-sale debt securities:,Cost,Gross Unrealized Gains,Gross Unrealized Losses,Estimated Fair Value,Cost,Gross Unrealized Gains,Gross Unrealized Losses,Estimated Fair Value
State and municipal obligations,106,5,0,111,172,7,0,179
U.S. Government agency obligations,6,0,0,6,7,0,0,7
U.S. Government treasury obligations,1680,25,-1,1704,20655,76,0,20731
Mortgage-backed securities (a),17,1,0,18,28,2,0,30
Foreign government bonds and obligations,630,0,0,630,581,0,0,581
Other (b),43,0,0,43,22,0,0,22
Equity securities (c),66,17,-4,79,56,27,-2,81
Total,2548,48,-5,2591,21521,112,-2,21631
